x,y,z,yaw,velocity,change_flag
-1.9881,5.6306,0.1823,-0.0063,0,0
-1.9331,5.6456,0.1874,-0.0055,inf,0
-1.8850,5.6187,0.1745,-0.0081,0.8567,0
-1.8121,5.6247,0.1449,-0.0074,2.0774,0
-1.7647,5.6606,0.1817,-0.0047,1.4676,0
-1.7032,5.6183,0.2063,-0.0138,1.2393,0
-1.6383,5.6044,0.1679,-0.0051,2.7515,0
-1.5874,5.6080,0.1804,0.0041,1.1850,0
-1.5392,5.6766,0.1809,0.0162,2.7337,0
-1.4857,5.6634,0.1765,0.0095,1.4359,0
-1.4306,5.6641,0.1493,0.0035,1.8532,0
-1.3037,5.7204,0.2422,-0.0211,5.3835,0
-1.3514,5.7024,0.1829,-0.0290,inf,0
-1.3187,5.6545,0.2303,-0.0242,2.5757,0
-1.2786,5.6931,0.1903,-0.0154,0.9917,0
-1.2070,5.6678,0.2034,-0.0125,2.2325,0
-1.1562,5.6847,0.2109,0.0061,1.1922,0
-1.1072,5.6656,0.1976,-0.0039,0.6558,0
-1.0124,5.6894,0.1972,-0.0041,1.8857,0
-0.9634,5.6546,0.1996,-0.0029,1.2122,0
-0.8805,5.6821,0.1922,-0.0062,2.2318,0
-0.8272,5.6868,0.2316,-0.0134,1.6833,0
-0.7609,5.6881,0.2374,-0.0153,2.3005,0
-0.6876,5.7122,0.1924,-0.0147,1.8235,0
-0.6169,5.7085,0.2239,-0.0148,2.5013,0
-0.5473,5.7098,0.2105,-0.0058,0.8846,0
-0.4963,5.6970,0.2203,-0.0094,inf,0
-0.4244,5.6948,0.2013,-0.0036,1.4957,0
-0.3412,5.7026,0.2034,0.0026,1.9687,0
-0.2285,5.7412,0.2565,-0.0057,2.7444,0
-0.1733,5.7138,0.2478,-0.0217,1.0042,0
-0.1090,5.7484,0.2142,-0.0238,2.2839,0
-0.0545,5.7034,0.2562,-0.0272,1.4066,0
-0.0194,5.7397,0.2483,-0.0275,1.7398,0
0.0577,5.7260,0.2487,-0.0213,1.3241,0
0.1095,5.7344,0.2678,-0.0255,inf,0
0.1911,5.7387,0.2456,-0.0203,2.0817,0
0.2636,5.7453,0.2401,-0.0091,1.4333,0
0.3272,5.7516,0.2318,-0.0082,1.0170,0
0.3831,5.7464,0.2512,-0.0175,0.7599,0
0.4542,5.7538,0.2597,-0.0225,2.2973,0
0.4000,5.7363,0.2359,-0.0248,2.2100,0
0.4661,5.7506,0.2796,-0.0265,3.0103,0
0.5335,5.7754,0.2671,-0.0333,2.2353,0
0.5941,5.7763,0.2804,-0.0126,1.8890,0
0.6512,5.7609,0.2423,-0.0093,1.0273,0
0.7056,5.7739,0.2764,-0.0080,0.5030,0
0.7524,5.7508,0.2929,-0.0169,2.4504,0
0.8012,5.7775,0.2706,-0.0132,1.2816,0
0.8587,5.7670,0.3016,-0.0098,2.5766,0
0.9114,5.7754,0.2795,0.0018,inf,0
0.9746,5.7733,0.3099,0.0041,2.4111,0
1.0009,5.8258,0.3132,0.0317,2.0828,0
1.0701,5.8257,0.2553,0.0456,2.8401,0
1.1212,5.8271,0.3054,0.0928,1.0259,0
1.1719,5.8187,0.2979,0.1188,1.4641,0
1.2388,5.8234,0.2920,0.1829,1.0872,0
1.2122,5.7623,0.2788,0.1911,inf,0
1.2576,5.7997,0.2966,0.2168,2.1082,0
1.2988,5.8641,0.3197,0.4207,1.5252,0
1.3233,5.9225,0.3208,0.4647,1.7633,0
1.4372,6.0476,0.3411,0.5410,2.4431,0
1.4962,6.0690,0.3413,0.5710,2.1533,0
1.5596,6.0647,0.3341,0.6410,1.6395,0
1.6064,6.0866,0.3507,0.6825,1.0357,0
1.6567,6.0742,0.3291,0.7436,0.8556,0
1.6481,6.1471,0.3196,0.8705,0.9704,0
1.6481,6.2121,0.3328,0.9098,1.3270,0
1.6655,6.2854,0.3587,0.9474,2.2243,0
1.7307,6.3251,0.3560,0.9870,1.8697,0
1.7562,6.4084,0.3693,1.0039,3.0251,0
1.8211,6.4603,0.3543,1.0480,1.7539,0
1.8826,6.5306,0.3582,1.0940,1.8736,0
1.8759,6.6091,0.3532,1.1680,1.2913,0
1.8752,6.6630,0.3522,1.1783,1.5793,0
1.8971,6.7232,0.3869,1.1942,2.5877,0
1.9143,6.7842,0.3918,1.2127,1.6196,0
1.9005,6.8327,0.3904,1.2180,1.5213,0
1.9349,6.8765,0.3831,1.2268,1.9280,0
1.9476,6.9416,0.3838,1.2456,2.2396,0
1.9856,7.0164,0.3807,1.2501,2.5539,0
2.0314,7.1239,0.3921,1.2812,2.9627,0
2.0843,7.1992,0.3865,1.3141,2.1758,0
2.0523,7.2405,0.3961,1.3208,inf,0
2.0510,7.2945,0.3926,1.3337,0.6519,0
2.0305,7.3567,0.4045,1.3505,2.5793,0
2.0557,7.4364,0.4184,1.3683,2.6652,0
2.0330,7.4879,0.4085,1.3881,1.1716,0
2.0623,7.5286,0.3972,1.4011,inf,0
2.0637,7.5995,0.4384,1.4087,0.9566,0
2.0814,7.6660,0.4082,1.4040,2.3551,0
2.1304,7.6959,0.4458,1.3953,1.6440,0
2.0908,7.7687,0.4286,1.3949,2.4949,0
2.1232,7.8122,0.4200,1.3938,1.8094,0
2.0732,7.8721,0.4466,1.4138,2.4982,0
2.0928,7.9515,0.4500,1.4350,1.2119,0
2.0538,8.0082,0.4583,1.4729,0.9744,0
2.0058,8.0803,0.4248,1.5142,1.7303,0
2.0955,8.1565,0.5000,1.5256,4.7974,0
2.0511,8.1967,0.4699,1.5392,2.4173,0
2.1013,8.2279,0.4621,1.5511,2.0437,0
2.0938,8.3377,0.4896,1.5585,3.9003,0
2.1087,8.2741,0.4745,1.5581,1.1552,0
2.0956,8.3241,0.5029,1.5555,1.9984,0
2.0801,8.4125,0.5129,1.5406,3.7117,0
2.1384,8.4599,0.5088,1.5361,3.0157,0
2.0624,8.5451,0.5392,1.5419,4.1414,0
2.1254,8.5571,0.4779,1.5413,3.2802,0
2.1209,8.6416,0.5167,1.5528,3.9660,0
2.0983,8.6878,0.5265,1.5432,inf,0
2.1073,8.7445,0.5256,1.5468,3.4828,0
2.1301,8.8065,0.5230,1.5417,2.8938,0
2.0229,8.8243,0.4950,1.5493,3.8516,0
2.0652,8.8656,0.5318,1.5511,2.2709,0
2.0846,8.9290,0.5314,1.5496,2.2774,0
2.0969,9.0056,0.5261,1.5393,1.2088,0
2.0749,9.0631,0.5357,1.5403,1.4491,0
2.1364,9.1262,0.5481,1.5357,2.7518,0
2.1086,9.1703,0.5100,1.5345,inf,0
2.0628,9.2540,0.5748,1.5409,2.7098,0
2.0481,9.3090,0.5263,1.5416,1.9255,0
2.0815,9.3555,0.5400,1.5452,inf,0
2.1249,9.3822,0.5469,1.5426,1.7670,0
