x,y,z,yaw,velocity,change_flag
2.7123,3.4117,0.2279,1.4092,2.4006,0
2.6756,3.4612,0.2517,1.4153,1.3176,0
2.6984,3.5281,0.2434,1.4179,1.6538,0
2.7386,3.5611,0.2544,1.4207,1.8254,0
2.7105,3.6043,0.2516,1.4249,inf,0
2.7070,3.6557,0.2635,1.4232,1.8196,0
2.7106,3.7158,0.2728,1.4199,2.1153,0
2.7572,3.7907,0.2895,1.4206,3.2685,0
2.7363,3.8473,0.2872,1.4087,0.7058,0
2.7344,3.9146,0.2985,1.4048,0.6911,0
2.7305,3.9860,0.3026,1.4158,1.7006,0
2.7848,4.0401,0.3050,1.4160,2.6357,0
2.7497,4.1138,0.3314,1.4205,1.6652,0
2.7758,4.1575,0.3239,1.4221,1.7650,0
2.8457,4.2211,0.3040,1.4534,2.4651,0
2.7956,4.2810,0.2713,1.5299,2.1010,0
2.7480,4.2638,0.3147,1.5596,2.2896,0
2.7956,4.4905,0.4915,1.5509,10.0118,0
2.6897,4.2545,0.2808,1.5390,11.4377,0
2.7927,4.3873,0.2609,1.6090,2.9088,0
2.7736,4.5445,0.3351,1.5943,3.0016,0
2.7340,4.6020,0.3007,1.6128,1.3367,0
2.7581,4.6533,0.3130,1.6017,1.9924,0
2.7053,4.6528,0.3042,1.6069,1.8383,0
2.7260,4.7294,0.3236,1.6064,1.9187,0
2.7684,4.7854,0.3744,1.6028,6.0339,0
2.7230,4.8316,0.3495,1.6103,2.3826,0
2.7624,4.8717,0.3822,1.6093,2.2308,0
2.7231,4.9588,0.2499,1.6058,3.7250,0
2.7355,5.0242,0.3036,1.5947,2.8816,0
2.6944,5.0674,0.3317,1.5824,0.8971,0
2.6301,5.1232,0.3140,1.5861,1.7324,0
2.6512,5.1935,0.3664,1.5918,3.0887,0
2.6648,5.2676,0.3939,1.5951,3.3724,0
2.6635,5.3355,0.3448,1.6002,1.0425,0
2.6718,5.4075,0.3398,1.6003,1.1101,0
2.6681,5.4656,0.3539,1.5986,1.3310,0
2.6512,5.5256,0.3542,1.5913,0.6295,0
2.6147,5.6010,0.3348,1.5866,1.5971,0
2.6252,5.6796,0.3509,1.5792,1.3341,0
2.6017,5.7624,0.3459,1.5903,1.5863,0
2.6429,5.8359,0.3813,1.5964,3.2089,0
2.6166,5.9004,0.3701,1.5992,1.2950,0
2.6196,5.9505,0.3638,1.5985,0.8691,0
2.6060,6.0176,0.3693,1.6007,2.3564,0
2.6512,6.1236,0.3939,1.5949,4.7205,0
2.6149,6.0123,0.3631,1.5967,4.2769,0
2.5955,6.1100,0.4042,1.5961,3.6988,0
2.5914,6.1938,0.4009,1.5874,1.8212,0
2.5798,6.2541,0.3742,1.5795,1.5545,0
2.5741,6.3157,0.3754,1.5780,1.5331,0
2.5711,6.3803,0.3978,1.5848,1.5548,0
2.5603,6.4536,0.4042,1.5936,3.0591,0
2.5691,6.5092,0.3871,1.5975,0.9691,0
2.5163,6.6003,0.3981,1.5940,2.2774,0
2.5662,6.6257,0.3948,1.5908,2.0514,0
2.5023,6.7298,0.4078,1.5883,4.2177,0
2.5637,6.7056,0.3896,1.5877,2.6051,0
2.5287,6.7418,0.3869,1.5865,inf,0
2.5410,6.8142,0.3875,1.5872,2.5197,0
2.5161,6.9206,0.4049,1.5844,2.5405,0
2.5037,6.9732,0.4251,1.5853,1.9485,0
2.5262,7.0307,0.4005,1.5988,2.4936,0
2.5105,7.1043,0.4281,1.5981,2.7013,0
2.5146,7.1655,0.4288,1.5943,1.1054,0
2.5201,7.2359,0.4312,1.5914,1.4661,0
2.4648,7.2882,0.4377,1.5910,2.5179,0
2.5155,7.3206,0.4506,1.5893,2.2127,0
2.5003,7.3779,0.4228,1.5754,1.7420,0
2.4843,7.4299,0.4450,1.5769,2.0237,0
2.4777,7.4802,0.4323,1.5763,inf,0
2.4564,7.5713,0.4343,1.5840,1.6823,0
2.4708,7.6279,0.4565,1.5931,1.0523,0
2.4722,7.6944,0.4363,1.5964,1.8572,0
2.4594,7.7479,0.4449,1.5882,1.8660,0
2.4553,7.8267,0.4247,1.5971,1.6104,0
2.4018,7.8591,0.4436,1.5981,2.8488,0
2.4472,7.9658,0.4882,1.5919,2.6611,0
2.4899,8.0414,0.4686,1.5805,2.5466,0
2.4489,8.0953,0.4635,1.5806,3.3400,0
2.3859,8.1175,0.4490,1.5863,1.6911,0
2.3909,8.1691,0.4515,1.5807,inf,0
2.4390,8.2251,0.5381,1.5848,3.9103,0
2.3556,8.2471,0.4876,1.5819,3.4306,0
2.4553,8.2955,0.4601,1.5866,4.3240,0
2.4480,8.3480,0.5445,1.5866,1.5164,0
2.3923,8.3988,0.4851,1.5955,1.4143,0
2.3776,8.4702,0.5238,1.5873,2.7118,0
2.4156,8.5268,0.5005,1.5843,1.3419,0
2.3831,8.5871,0.5241,1.5746,1.3935,0
2.4116,8.6459,0.5126,1.5722,2.1537,0
2.3955,8.6961,0.5251,1.5709,2.0949,0
2.3764,8.7720,0.4852,1.5844,2.4903,0
2.4078,8.8241,0.5695,1.5898,3.7130,0
2.3542,8.8649,0.5339,1.5942,1.7966,0
2.3443,8.9172,0.5660,1.5852,inf,0
2.4027,8.9420,0.5355,1.5842,2.4152,0
2.3633,8.9812,0.5231,1.5875,2.0729,0
2.3469,9.0288,0.5649,1.5870,0.3491,0
2.3404,9.0948,0.5245,1.5859,1.1635,0
2.4155,9.1762,0.5427,1.5808,3.7778,0
2.3594,9.2007,0.5462,1.5725,1.6284,0
2.3306,9.2652,0.5430,1.5709,0.8512,0
2.3251,9.3409,0.5880,1.5750,1.8968,0
2.3348,9.4516,0.6003,1.5838,3.4208,0
2.2871,9.5069,0.5866,1.5871,1.9595,0
2.3609,9.5535,0.5776,1.5861,3.0160,0
2.3250,9.6083,0.6090,1.5890,1.8281,0
2.2791,9.6579,0.6027,1.5880,2.3971,0
2.3119,9.7003,0.5905,1.5906,1.8918,0
2.3179,9.7937,0.5865,1.5797,2.4385,0
2.2806,9.8595,0.5784,1.5660,1.6843,0
2.3158,9.8973,0.6079,1.5674,2.0426,0
2.2678,9.9591,0.6017,1.5746,1.7148,0
2.3042,10.0564,0.6426,1.5873,3.4171,0
2.2456,10.0572,0.6307,1.5973,2.0538,0
2.2451,10.1187,0.5772,1.5831,1.7413,0
2.2872,10.1868,0.6139,1.5826,3.0248,0
2.2395,10.2540,0.6136,1.5827,1.2270,0
2.2568,10.3062,0.6185,1.5900,2.7078,0
2.2213,10.3786,0.6854,1.5842,3.5957,0
2.1303,10.4282,0.6313,1.6638,2.9067,0
2.1840,10.4780,0.6408,1.6798,2.5399,0
2.1630,10.5741,0.7528,1.6886,5.1198,0
2.2056,10.7631,0.6044,1.7161,3.5156,0
2.1569,10.9132,0.7436,1.7627,7.2246,0
2.2324,10.8316,0.6029,1.8581,2.0524,0
2.1963,10.7764,0.6419,1.9665,2.3081,0
2.1400,10.8225,0.6425,2.0562,1.6846,0
2.0760,10.9049,0.6231,2.0765,3.6487,0
2.0742,10.8264,0.6040,2.0935,2.7746,0
2.0140,10.9145,0.6360,2.1318,3.8266,0
1.9645,10.9035,0.6130,2.1705,1.9129,0
1.9158,10.9727,0.6519,2.2109,3.2027,0
1.9254,11.0246,0.6256,2.2350,2.0241,0
1.9503,11.0728,0.6595,2.2341,2.2494,0
1.9176,11.1277,0.6329,2.2122,1.4389,0
1.8174,11.1824,0.6398,2.1997,2.6383,0
1.7650,11.2708,0.6460,2.1975,2.1317,0
1.7396,11.3208,0.6403,2.1964,1.1221,0
1.6999,11.3627,0.6392,2.2054,0.9501,0
