epoch:=100 ,test_acc:=4.483063
epoch:=200 ,test_acc:=1.654889
epoch:=300 ,test_acc:=1.069851
epoch:=400 ,test_acc:=0.916770 ModelSave!
epoch:=500 ,test_acc:=0.858171 ModelSave!
epoch:=600 ,test_acc:=0.831527 ModelSave!
epoch:=700 ,test_acc:=0.820103 ModelSave!
epoch:=800 ,test_acc:=0.812872 ModelSave!
epoch:=900 ,test_acc:=0.807479 ModelSave!
epoch:=1000 ,test_acc:=0.805441 ModelSave!
epoch:=1100 ,test_acc:=0.803936 ModelSave!
epoch:=1200 ,test_acc:=0.802816 ModelSave!
epoch:=1300 ,test_acc:=0.802180 ModelSave!
epoch:=1400 ,test_acc:=0.801778 ModelSave!
epoch:=1500 ,test_acc:=0.801300 ModelSave!
epoch:=1600 ,test_acc:=0.800961 ModelSave!
epoch:=1700 ,test_acc:=0.800833 ModelSave!
epoch:=1800 ,test_acc:=0.800435 ModelSave!
epoch:=1900 ,test_acc:=0.800000 ModelSave!
epoch:=2000 ,test_acc:=0.799604 ModelSave!
epoch:=2100 ,test_acc:=0.799015 ModelSave!
epoch:=2200 ,test_acc:=0.798676 ModelSave!
epoch:=2300 ,test_acc:=0.798474 ModelSave!
epoch:=2400 ,test_acc:=0.797824 ModelSave!
epoch:=2500 ,test_acc:=0.797001 ModelSave!
epoch:=2600 ,test_acc:=0.796667 ModelSave!
epoch:=2700 ,test_acc:=0.795936 ModelSave!
epoch:=2800 ,test_acc:=0.794572 ModelSave!
epoch:=2900 ,test_acc:=0.793639 ModelSave!
epoch:=3000 ,test_acc:=0.792517 ModelSave!
epoch:=3100 ,test_acc:=0.792084 ModelSave!
epoch:=3200 ,test_acc:=0.791416 ModelSave!
epoch:=3300 ,test_acc:=0.791301 ModelSave!
epoch:=3400 ,test_acc:=0.788844 ModelSave!
epoch:=3500 ,test_acc:=0.786026 ModelSave!
epoch:=3600 ,test_acc:=0.784121 ModelSave!
epoch:=3700 ,test_acc:=0.782199 ModelSave!
epoch:=3800 ,test_acc:=0.780852 ModelSave!
epoch:=3900 ,test_acc:=0.777077 ModelSave!
epoch:=4000 ,test_acc:=0.774027 ModelSave!
epoch:=4100 ,test_acc:=0.768234 ModelSave!
epoch:=4200 ,test_acc:=0.760850 ModelSave!
epoch:=4300 ,test_acc:=0.751303 ModelSave!
epoch:=4400 ,test_acc:=0.734232 ModelSave!
epoch:=4500 ,test_acc:=0.699951 ModelSave!
epoch:=4600 ,test_acc:=0.620245 ModelSave!
epoch:=4700 ,test_acc:=0.581863 ModelSave!
epoch:=4800 ,test_acc:=0.578265 ModelSave!
epoch:=4900 ,test_acc:=0.572184 ModelSave!
epoch:=5000 ,test_acc:=0.569739 ModelSave!
epoch:=5100 ,test_acc:=0.565208 ModelSave!
epoch:=5200 ,test_acc:=0.562135 ModelSave!
epoch:=5300 ,test_acc:=0.558162 ModelSave!
epoch:=5400 ,test_acc:=0.574090
epoch:=5500 ,test_acc:=0.552156 ModelSave!
epoch:=5600 ,test_acc:=0.550103 ModelSave!
epoch:=5700 ,test_acc:=0.550884
epoch:=5800 ,test_acc:=0.546545 ModelSave!
epoch:=5900 ,test_acc:=0.549831
epoch:=6000 ,test_acc:=0.542820 ModelSave!
epoch:=6100 ,test_acc:=0.539413 ModelSave!
epoch:=6200 ,test_acc:=0.539050 ModelSave!
epoch:=6300 ,test_acc:=0.535415 ModelSave!
epoch:=6400 ,test_acc:=0.531919 ModelSave!
epoch:=6500 ,test_acc:=0.530998 ModelSave!
epoch:=6600 ,test_acc:=0.528115 ModelSave!
epoch:=6700 ,test_acc:=0.528659
epoch:=6800 ,test_acc:=0.524700 ModelSave!
epoch:=6900 ,test_acc:=0.522879 ModelSave!
epoch:=7000 ,test_acc:=0.525334
epoch:=7100 ,test_acc:=0.531015
epoch:=7200 ,test_acc:=0.524283
epoch:=7300 ,test_acc:=0.516295 ModelSave!
epoch:=7400 ,test_acc:=0.573782
epoch:=7500 ,test_acc:=0.514123 ModelSave!
epoch:=7600 ,test_acc:=0.511549 ModelSave!
epoch:=7700 ,test_acc:=0.509806 ModelSave!
epoch:=7800 ,test_acc:=0.534216
epoch:=7900 ,test_acc:=0.508241 ModelSave!
epoch:=8000 ,test_acc:=0.511119
epoch:=8100 ,test_acc:=0.508340
epoch:=8200 ,test_acc:=0.534957
epoch:=8300 ,test_acc:=0.504240 ModelSave!
epoch:=8400 ,test_acc:=0.502598 ModelSave!
epoch:=8500 ,test_acc:=0.497104 ModelSave!
epoch:=8600 ,test_acc:=0.501603
epoch:=8700 ,test_acc:=0.493905 ModelSave!
epoch:=8800 ,test_acc:=0.494679
epoch:=8900 ,test_acc:=0.490669 ModelSave!
epoch:=9000 ,test_acc:=0.487160 ModelSave!
epoch:=9100 ,test_acc:=0.493499
epoch:=9200 ,test_acc:=0.493389
epoch:=9300 ,test_acc:=0.507223
epoch:=9400 ,test_acc:=0.472747 ModelSave!
epoch:=9500 ,test_acc:=0.484779
epoch:=9600 ,test_acc:=0.475822
epoch:=9700 ,test_acc:=0.459577 ModelSave!
epoch:=9800 ,test_acc:=0.502596
epoch:=9900 ,test_acc:=0.444935 ModelSave!
epoch:=10000 ,test_acc:=0.433646 ModelSave!
epoch:=10100 ,test_acc:=0.428014 ModelSave!
epoch:=10200 ,test_acc:=0.433958
epoch:=10300 ,test_acc:=0.452327
epoch:=10400 ,test_acc:=0.430900
epoch:=10500 ,test_acc:=0.418460 ModelSave!
epoch:=10600 ,test_acc:=0.415206 ModelSave!
epoch:=10700 ,test_acc:=0.413700 ModelSave!
epoch:=10800 ,test_acc:=0.420685
epoch:=10900 ,test_acc:=0.409444 ModelSave!
epoch:=11000 ,test_acc:=0.420733
epoch:=11100 ,test_acc:=0.410492
epoch:=11200 ,test_acc:=0.410050
epoch:=11300 ,test_acc:=0.414923
epoch:=11400 ,test_acc:=0.416793
epoch:=11500 ,test_acc:=0.408392 ModelSave!
epoch:=11600 ,test_acc:=0.422264
epoch:=11700 ,test_acc:=0.413588
epoch:=11800 ,test_acc:=0.400608 ModelSave!
epoch:=11900 ,test_acc:=0.403647
epoch:=12000 ,test_acc:=0.420366
epoch:=12100 ,test_acc:=0.411226
epoch:=12200 ,test_acc:=0.424212
epoch:=12300 ,test_acc:=0.414019
epoch:=12400 ,test_acc:=0.431929
epoch:=12500 ,test_acc:=0.393714 ModelSave!
epoch:=12600 ,test_acc:=0.392669 ModelSave!
epoch:=12700 ,test_acc:=0.407977
epoch:=12800 ,test_acc:=0.404228
epoch:=12900 ,test_acc:=0.389279 ModelSave!
epoch:=13000 ,test_acc:=0.395276
epoch:=13100 ,test_acc:=0.443904
epoch:=13200 ,test_acc:=0.385252 ModelSave!
epoch:=13300 ,test_acc:=0.384781 ModelSave!
epoch:=13400 ,test_acc:=0.387172
epoch:=13500 ,test_acc:=0.474576
epoch:=13600 ,test_acc:=0.432687
epoch:=13700 ,test_acc:=0.385276
epoch:=13800 ,test_acc:=0.390605
epoch:=13900 ,test_acc:=0.381654 ModelSave!
epoch:=14000 ,test_acc:=0.381299 ModelSave!
epoch:=14100 ,test_acc:=0.381803
epoch:=14200 ,test_acc:=0.396704
epoch:=14300 ,test_acc:=0.387335
