epoch:=100 ,test_acc:=4.974526
epoch:=200 ,test_acc:=1.873210 ModelSave!
epoch:=300 ,test_acc:=1.297305 ModelSave!
epoch:=400 ,test_acc:=1.160866 ModelSave!
epoch:=500 ,test_acc:=1.119579 ModelSave!
epoch:=600 ,test_acc:=1.103691 ModelSave!
epoch:=700 ,test_acc:=1.097068 ModelSave!
epoch:=800 ,test_acc:=1.093902 ModelSave!
epoch:=900 ,test_acc:=1.092975 ModelSave!
epoch:=1000 ,test_acc:=1.092904 ModelSave!
epoch:=1100 ,test_acc:=1.093266
epoch:=1200 ,test_acc:=1.093748
epoch:=1300 ,test_acc:=1.094061
epoch:=1400 ,test_acc:=1.094207
epoch:=1500 ,test_acc:=1.093969
epoch:=1600 ,test_acc:=1.094191
epoch:=1700 ,test_acc:=1.094439
epoch:=1800 ,test_acc:=1.094002
epoch:=1900 ,test_acc:=1.094581
epoch:=2000 ,test_acc:=1.094838
epoch:=2100 ,test_acc:=1.095604
epoch:=2200 ,test_acc:=1.095632
epoch:=2300 ,test_acc:=1.093984
epoch:=2400 ,test_acc:=1.093771
epoch:=2500 ,test_acc:=1.093557
epoch:=2600 ,test_acc:=1.092497 ModelSave!
epoch:=2700 ,test_acc:=1.093103
epoch:=2800 ,test_acc:=1.092179 ModelSave!
epoch:=2900 ,test_acc:=1.090575 ModelSave!
epoch:=3000 ,test_acc:=1.091354
epoch:=3100 ,test_acc:=1.090812
epoch:=3200 ,test_acc:=1.089971 ModelSave!
epoch:=3300 ,test_acc:=1.087497 ModelSave!
epoch:=3400 ,test_acc:=1.085147 ModelSave!
epoch:=3500 ,test_acc:=1.083178 ModelSave!
epoch:=3600 ,test_acc:=1.083595
epoch:=3700 ,test_acc:=1.080798 ModelSave!
epoch:=3800 ,test_acc:=1.078132 ModelSave!
epoch:=3900 ,test_acc:=1.077514 ModelSave!
epoch:=4000 ,test_acc:=1.073503 ModelSave!
epoch:=4100 ,test_acc:=1.070489 ModelSave!
epoch:=4200 ,test_acc:=1.066296 ModelSave!
epoch:=4300 ,test_acc:=1.057427 ModelSave!
epoch:=4400 ,test_acc:=1.050168 ModelSave!
epoch:=4500 ,test_acc:=1.039722 ModelSave!
epoch:=4600 ,test_acc:=1.015211 ModelSave!
epoch:=4700 ,test_acc:=0.984824 ModelSave!
epoch:=4800 ,test_acc:=0.947514 ModelSave!
epoch:=4900 ,test_acc:=0.933612 ModelSave!
epoch:=5000 ,test_acc:=0.935682
epoch:=5100 ,test_acc:=0.940851
epoch:=5200 ,test_acc:=0.943566
epoch:=5300 ,test_acc:=0.948950
epoch:=5400 ,test_acc:=0.965560
epoch:=5500 ,test_acc:=0.928169 ModelSave!
epoch:=5600 ,test_acc:=0.945942
epoch:=5700 ,test_acc:=0.944568
epoch:=5800 ,test_acc:=0.955907
epoch:=5900 ,test_acc:=0.952145
epoch:=6000 ,test_acc:=0.960774
epoch:=6100 ,test_acc:=0.974032
epoch:=6200 ,test_acc:=0.947762
epoch:=6300 ,test_acc:=0.944520
epoch:=6400 ,test_acc:=0.928976
epoch:=6500 ,test_acc:=0.942633
epoch:=6600 ,test_acc:=0.933591
epoch:=6700 ,test_acc:=0.933237
epoch:=6800 ,test_acc:=0.935408
epoch:=6900 ,test_acc:=0.944930
epoch:=7000 ,test_acc:=0.941592
epoch:=7100 ,test_acc:=0.924213 ModelSave!
epoch:=7200 ,test_acc:=0.926007
epoch:=7300 ,test_acc:=0.940503
epoch:=7400 ,test_acc:=0.989341
epoch:=7500 ,test_acc:=0.953408
epoch:=7600 ,test_acc:=0.937232
epoch:=7700 ,test_acc:=0.922449 ModelSave!
epoch:=7800 ,test_acc:=0.919882 ModelSave!
epoch:=7900 ,test_acc:=0.933255
epoch:=8000 ,test_acc:=0.948510
epoch:=8100 ,test_acc:=0.943475
epoch:=8200 ,test_acc:=0.915146 ModelSave!
epoch:=8300 ,test_acc:=0.938794
epoch:=8400 ,test_acc:=0.918574
epoch:=8500 ,test_acc:=0.921170
epoch:=8600 ,test_acc:=0.901458 ModelSave!
epoch:=8700 ,test_acc:=0.944080
epoch:=8800 ,test_acc:=0.914214
epoch:=8900 ,test_acc:=0.921550
epoch:=9000 ,test_acc:=0.951206
epoch:=9100 ,test_acc:=0.926705
epoch:=9200 ,test_acc:=0.897478 ModelSave!
epoch:=9300 ,test_acc:=0.884085 ModelSave!
epoch:=9400 ,test_acc:=0.894227
epoch:=9500 ,test_acc:=0.897068
epoch:=9600 ,test_acc:=0.922924
epoch:=9700 ,test_acc:=0.896762
epoch:=9800 ,test_acc:=0.911075
epoch:=9900 ,test_acc:=0.911776
epoch:=10000 ,test_acc:=0.912978
epoch:=10100 ,test_acc:=0.882797 ModelSave!
epoch:=10200 ,test_acc:=0.928429
epoch:=10300 ,test_acc:=0.904339
epoch:=10400 ,test_acc:=0.881503 ModelSave!
epoch:=10500 ,test_acc:=0.882255
epoch:=10600 ,test_acc:=0.922566
epoch:=10700 ,test_acc:=0.856908 ModelSave!
epoch:=10800 ,test_acc:=0.879815
epoch:=10900 ,test_acc:=0.890641
epoch:=11000 ,test_acc:=0.888267
epoch:=11100 ,test_acc:=0.858891
epoch:=11200 ,test_acc:=0.858104
epoch:=11300 ,test_acc:=0.863538
epoch:=11400 ,test_acc:=0.890010
epoch:=11500 ,test_acc:=0.827906 ModelSave!
epoch:=11600 ,test_acc:=0.840569
epoch:=11700 ,test_acc:=0.813125 ModelSave!
epoch:=11800 ,test_acc:=0.832568
