epoch:=100 ,test_acc:=5.019033
epoch:=200 ,test_acc:=1.976767 ModelSave!
epoch:=300 ,test_acc:=1.429671 ModelSave!
epoch:=400 ,test_acc:=1.298429 ModelSave!
epoch:=500 ,test_acc:=1.255810 ModelSave!
epoch:=600 ,test_acc:=1.236724 ModelSave!
epoch:=700 ,test_acc:=1.228683 ModelSave!
epoch:=800 ,test_acc:=1.224600 ModelSave!
epoch:=900 ,test_acc:=1.222561 ModelSave!
epoch:=1000 ,test_acc:=1.221492 ModelSave!
epoch:=1100 ,test_acc:=1.220933 ModelSave!
epoch:=1200 ,test_acc:=1.220521 ModelSave!
epoch:=1300 ,test_acc:=1.220366 ModelSave!
epoch:=1400 ,test_acc:=1.220387
epoch:=1500 ,test_acc:=1.220568
epoch:=1600 ,test_acc:=1.220523
epoch:=1700 ,test_acc:=1.220416
epoch:=1800 ,test_acc:=1.220435
epoch:=1900 ,test_acc:=1.219933 ModelSave!
epoch:=2000 ,test_acc:=1.219962
epoch:=2100 ,test_acc:=1.220288
epoch:=2200 ,test_acc:=1.220196
epoch:=2300 ,test_acc:=1.220451
epoch:=2400 ,test_acc:=1.219736 ModelSave!
epoch:=2500 ,test_acc:=1.218953 ModelSave!
epoch:=2600 ,test_acc:=1.218167 ModelSave!
epoch:=2700 ,test_acc:=1.218261
epoch:=2800 ,test_acc:=1.217727 ModelSave!
epoch:=2900 ,test_acc:=1.218047
epoch:=3000 ,test_acc:=1.216614 ModelSave!
epoch:=3100 ,test_acc:=1.216032 ModelSave!
epoch:=3200 ,test_acc:=1.214208 ModelSave!
epoch:=3300 ,test_acc:=1.213653 ModelSave!
epoch:=3400 ,test_acc:=1.214153
epoch:=3500 ,test_acc:=1.212677 ModelSave!
epoch:=3600 ,test_acc:=1.211849 ModelSave!
epoch:=3700 ,test_acc:=1.210053 ModelSave!
epoch:=3800 ,test_acc:=1.207735 ModelSave!
epoch:=3900 ,test_acc:=1.205185 ModelSave!
epoch:=4000 ,test_acc:=1.203685 ModelSave!
epoch:=4100 ,test_acc:=1.199847 ModelSave!
epoch:=4200 ,test_acc:=1.195538 ModelSave!
epoch:=4300 ,test_acc:=1.190417 ModelSave!
epoch:=4400 ,test_acc:=1.189119 ModelSave!
epoch:=4500 ,test_acc:=1.177779 ModelSave!
epoch:=4600 ,test_acc:=1.154711 ModelSave!
epoch:=4700 ,test_acc:=1.115932 ModelSave!
epoch:=4800 ,test_acc:=1.065820 ModelSave!
epoch:=4900 ,test_acc:=1.045532 ModelSave!
epoch:=5000 ,test_acc:=1.043139 ModelSave!
epoch:=5100 ,test_acc:=1.036743 ModelSave!
epoch:=5200 ,test_acc:=1.045352
epoch:=5300 ,test_acc:=1.055214
epoch:=5400 ,test_acc:=1.048872
epoch:=5500 ,test_acc:=1.045613
epoch:=5600 ,test_acc:=1.046682
epoch:=5700 ,test_acc:=1.041400
epoch:=5800 ,test_acc:=1.055551
epoch:=5900 ,test_acc:=1.028741 ModelSave!
epoch:=6000 ,test_acc:=1.040940
epoch:=6100 ,test_acc:=1.034801
epoch:=6200 ,test_acc:=1.044188
epoch:=6300 ,test_acc:=1.027692 ModelSave!
epoch:=6400 ,test_acc:=1.033783
epoch:=6500 ,test_acc:=1.038750
epoch:=6600 ,test_acc:=1.029164
epoch:=6700 ,test_acc:=1.026242 ModelSave!
epoch:=6800 ,test_acc:=1.031088
epoch:=6900 ,test_acc:=1.071708
epoch:=7000 ,test_acc:=1.015519 ModelSave!
epoch:=7100 ,test_acc:=1.020786
epoch:=7200 ,test_acc:=1.020242
epoch:=7300 ,test_acc:=1.020770
epoch:=7400 ,test_acc:=1.013041 ModelSave!
epoch:=7500 ,test_acc:=1.036391
epoch:=7600 ,test_acc:=1.032717
epoch:=7700 ,test_acc:=1.007833 ModelSave!
epoch:=7800 ,test_acc:=1.020688
epoch:=7900 ,test_acc:=1.026273
epoch:=8000 ,test_acc:=1.050175
epoch:=8100 ,test_acc:=1.005446 ModelSave!
epoch:=8200 ,test_acc:=1.002552 ModelSave!
epoch:=8300 ,test_acc:=1.011921
epoch:=8400 ,test_acc:=1.002778
epoch:=8500 ,test_acc:=0.990771 ModelSave!
epoch:=8600 ,test_acc:=0.998317
epoch:=8700 ,test_acc:=0.996624
epoch:=8800 ,test_acc:=1.011372
epoch:=8900 ,test_acc:=1.006170
epoch:=9000 ,test_acc:=0.985094 ModelSave!
epoch:=9100 ,test_acc:=0.988972
epoch:=9200 ,test_acc:=1.003202
epoch:=9300 ,test_acc:=0.977807 ModelSave!
epoch:=9400 ,test_acc:=0.979292
epoch:=9500 ,test_acc:=0.978780
epoch:=9600 ,test_acc:=0.971776 ModelSave!
epoch:=9700 ,test_acc:=0.975109
epoch:=9800 ,test_acc:=0.976687
epoch:=9900 ,test_acc:=0.962371 ModelSave!
epoch:=10000 ,test_acc:=0.960902 ModelSave!
epoch:=10100 ,test_acc:=1.010633
epoch:=10200 ,test_acc:=0.962880
epoch:=10300 ,test_acc:=0.964181
epoch:=10400 ,test_acc:=0.956748 ModelSave!
epoch:=10500 ,test_acc:=0.924494 ModelSave!
epoch:=10600 ,test_acc:=0.923290 ModelSave!
epoch:=10700 ,test_acc:=0.989688
epoch:=10800 ,test_acc:=0.914689 ModelSave!
epoch:=10900 ,test_acc:=0.917615
epoch:=11000 ,test_acc:=0.906766 ModelSave!
epoch:=11100 ,test_acc:=0.954858
epoch:=11200 ,test_acc:=0.899498 ModelSave!
epoch:=11300 ,test_acc:=0.884710 ModelSave!
epoch:=11400 ,test_acc:=0.917212
epoch:=11500 ,test_acc:=0.882055 ModelSave!
epoch:=11600 ,test_acc:=0.941733
epoch:=11700 ,test_acc:=0.877141 ModelSave!
epoch:=11800 ,test_acc:=0.868375 ModelSave!
epoch:=11900 ,test_acc:=0.878780
epoch:=12000 ,test_acc:=0.857037 ModelSave!
epoch:=12100 ,test_acc:=0.868561
epoch:=12200 ,test_acc:=0.852437 ModelSave!
epoch:=12300 ,test_acc:=0.873106
epoch:=12400 ,test_acc:=0.859527
epoch:=12500 ,test_acc:=0.876523
epoch:=12600 ,test_acc:=0.867551
epoch:=12700 ,test_acc:=0.871544
epoch:=12800 ,test_acc:=0.864014
epoch:=12900 ,test_acc:=0.852294 ModelSave!
epoch:=13000 ,test_acc:=0.900272
epoch:=13100 ,test_acc:=0.883952
epoch:=13200 ,test_acc:=0.875122
epoch:=13300 ,test_acc:=0.849341 ModelSave!
epoch:=13400 ,test_acc:=0.849370
epoch:=13500 ,test_acc:=0.882022
epoch:=13600 ,test_acc:=0.882339
epoch:=13700 ,test_acc:=0.836208 ModelSave!
epoch:=13800 ,test_acc:=0.885693
epoch:=13900 ,test_acc:=0.900276
epoch:=14000 ,test_acc:=0.878825
epoch:=14100 ,test_acc:=0.871124
epoch:=14200 ,test_acc:=0.852410
epoch:=14300 ,test_acc:=0.867314
epoch:=14400 ,test_acc:=0.897737
epoch:=14500 ,test_acc:=0.863328
epoch:=14600 ,test_acc:=0.841068
epoch:=14700 ,test_acc:=0.844209
epoch:=14800 ,test_acc:=0.887350
epoch:=14900 ,test_acc:=0.848653
epoch:=15000 ,test_acc:=0.863248
epoch:=15100 ,test_acc:=0.851833
epoch:=15200 ,test_acc:=0.833037 ModelSave!
epoch:=15300 ,test_acc:=0.875948
epoch:=15400 ,test_acc:=0.876219
epoch:=15500 ,test_acc:=0.831501 ModelSave!
epoch:=15600 ,test_acc:=0.840923
epoch:=15700 ,test_acc:=0.868740
epoch:=15800 ,test_acc:=0.863452
epoch:=15900 ,test_acc:=0.882091
epoch:=16000 ,test_acc:=0.887797
epoch:=16100 ,test_acc:=0.827681 ModelSave!
epoch:=16200 ,test_acc:=0.846279
epoch:=16300 ,test_acc:=0.823254 ModelSave!
epoch:=16400 ,test_acc:=0.849265
epoch:=16500 ,test_acc:=0.824611
epoch:=16600 ,test_acc:=0.831303
epoch:=16700 ,test_acc:=0.830508
epoch:=16800 ,test_acc:=0.848069
epoch:=16900 ,test_acc:=0.848445
epoch:=17000 ,test_acc:=0.876978
epoch:=17100 ,test_acc:=0.868405
epoch:=17200 ,test_acc:=0.846267
epoch:=17300 ,test_acc:=0.922776
epoch:=17400 ,test_acc:=0.847842
epoch:=17500 ,test_acc:=0.820176 ModelSave!
epoch:=17600 ,test_acc:=0.841080
epoch:=17700 ,test_acc:=0.820145 ModelSave!
epoch:=17800 ,test_acc:=0.850677
epoch:=17900 ,test_acc:=0.910343
epoch:=18000 ,test_acc:=0.832845
epoch:=18100 ,test_acc:=0.867138
epoch:=18200 ,test_acc:=0.840925
epoch:=18300 ,test_acc:=0.864611
epoch:=18400 ,test_acc:=0.866368
epoch:=18500 ,test_acc:=0.839510
epoch:=18600 ,test_acc:=0.844013
epoch:=18700 ,test_acc:=0.827711
epoch:=18800 ,test_acc:=0.859486
epoch:=18900 ,test_acc:=0.848969
epoch:=19000 ,test_acc:=0.871803
epoch:=19100 ,test_acc:=0.831048
epoch:=19200 ,test_acc:=0.861076
epoch:=19300 ,test_acc:=0.833194
epoch:=19400 ,test_acc:=0.835641
epoch:=19500 ,test_acc:=0.848230
epoch:=19600 ,test_acc:=0.877936
epoch:=19700 ,test_acc:=0.822640
epoch:=19800 ,test_acc:=0.834321
epoch:=19900 ,test_acc:=0.839210
epoch:=20000 ,test_acc:=0.840136
epoch:=20100 ,test_acc:=0.849970
epoch:=20200 ,test_acc:=0.857768
epoch:=20300 ,test_acc:=0.826108
