epoch:=100 ,test_acc:=4.961434
epoch:=200 ,test_acc:=1.866570 ModelSave!
epoch:=300 ,test_acc:=1.295994 ModelSave!
epoch:=400 ,test_acc:=1.162573 ModelSave!
epoch:=500 ,test_acc:=1.120255 ModelSave!
epoch:=600 ,test_acc:=1.103941 ModelSave!
epoch:=700 ,test_acc:=1.097466 ModelSave!
epoch:=800 ,test_acc:=1.094592 ModelSave!
epoch:=900 ,test_acc:=1.093389 ModelSave!
epoch:=1000 ,test_acc:=1.093033 ModelSave!
epoch:=1100 ,test_acc:=1.093018 ModelSave!
epoch:=1200 ,test_acc:=1.093081
epoch:=1300 ,test_acc:=1.093605
epoch:=1400 ,test_acc:=1.093524
epoch:=1500 ,test_acc:=1.093897
epoch:=1600 ,test_acc:=1.093754
epoch:=1700 ,test_acc:=1.094746
epoch:=1800 ,test_acc:=1.094706
epoch:=1900 ,test_acc:=1.094566
epoch:=2000 ,test_acc:=1.095347
epoch:=2100 ,test_acc:=1.094129
epoch:=2200 ,test_acc:=1.094053
epoch:=2300 ,test_acc:=1.093704
epoch:=2400 ,test_acc:=1.093435
epoch:=2500 ,test_acc:=1.092220 ModelSave!
epoch:=2600 ,test_acc:=1.092481
epoch:=2700 ,test_acc:=1.093086
epoch:=2800 ,test_acc:=1.091039 ModelSave!
epoch:=2900 ,test_acc:=1.088770 ModelSave!
epoch:=3000 ,test_acc:=1.088609 ModelSave!
epoch:=3100 ,test_acc:=1.086682 ModelSave!
epoch:=3200 ,test_acc:=1.085203 ModelSave!
epoch:=3300 ,test_acc:=1.085723
epoch:=3400 ,test_acc:=1.082762 ModelSave!
epoch:=3500 ,test_acc:=1.083174
epoch:=3600 ,test_acc:=1.080195 ModelSave!
epoch:=3700 ,test_acc:=1.079002 ModelSave!
epoch:=3800 ,test_acc:=1.074083 ModelSave!
epoch:=3900 ,test_acc:=1.073788 ModelSave!
epoch:=4000 ,test_acc:=1.068698 ModelSave!
epoch:=4100 ,test_acc:=1.063978 ModelSave!
epoch:=4200 ,test_acc:=1.059258 ModelSave!
epoch:=4300 ,test_acc:=1.052494 ModelSave!
epoch:=4400 ,test_acc:=1.035339 ModelSave!
epoch:=4500 ,test_acc:=1.011809 ModelSave!
epoch:=4600 ,test_acc:=0.982984 ModelSave!
epoch:=4700 ,test_acc:=0.944089 ModelSave!
epoch:=4800 ,test_acc:=0.940219 ModelSave!
epoch:=4900 ,test_acc:=0.931145 ModelSave!
epoch:=5000 ,test_acc:=0.933186
epoch:=5100 ,test_acc:=0.940004
epoch:=5200 ,test_acc:=0.929663 ModelSave!
epoch:=5300 ,test_acc:=0.930757
epoch:=5400 ,test_acc:=0.938367
epoch:=5500 ,test_acc:=0.932614
epoch:=5600 ,test_acc:=0.941925
epoch:=5700 ,test_acc:=0.938856
epoch:=5800 ,test_acc:=0.941539
epoch:=5900 ,test_acc:=0.949091
epoch:=6000 ,test_acc:=0.928378 ModelSave!
epoch:=6100 ,test_acc:=0.928521
epoch:=6200 ,test_acc:=0.935312
epoch:=6300 ,test_acc:=0.931383
epoch:=6400 ,test_acc:=0.921553 ModelSave!
epoch:=6500 ,test_acc:=0.921863
epoch:=6600 ,test_acc:=0.944603
epoch:=6700 ,test_acc:=0.921601
epoch:=6800 ,test_acc:=0.921939
epoch:=6900 ,test_acc:=0.932051
epoch:=7000 ,test_acc:=0.915535 ModelSave!
