epoch:=100 ,test_acc:=4.488801
epoch:=200 ,test_acc:=1.634310
epoch:=300 ,test_acc:=1.065289
epoch:=400 ,test_acc:=0.906684 ModelSave!
epoch:=500 ,test_acc:=0.850523 ModelSave!
epoch:=600 ,test_acc:=0.825010 ModelSave!
epoch:=700 ,test_acc:=0.811790 ModelSave!
epoch:=800 ,test_acc:=0.804655 ModelSave!
epoch:=900 ,test_acc:=0.800944 ModelSave!
epoch:=1000 ,test_acc:=0.797414 ModelSave!
epoch:=1100 ,test_acc:=0.795475 ModelSave!
epoch:=1200 ,test_acc:=0.794134 ModelSave!
epoch:=1300 ,test_acc:=0.793192 ModelSave!
epoch:=1400 ,test_acc:=0.792382 ModelSave!
epoch:=1500 ,test_acc:=0.791665 ModelSave!
epoch:=1600 ,test_acc:=0.791102 ModelSave!
epoch:=1700 ,test_acc:=0.790496 ModelSave!
epoch:=1800 ,test_acc:=0.789870 ModelSave!
epoch:=1900 ,test_acc:=0.789303 ModelSave!
epoch:=2000 ,test_acc:=0.788793 ModelSave!
epoch:=2100 ,test_acc:=0.788005 ModelSave!
epoch:=2200 ,test_acc:=0.787502 ModelSave!
epoch:=2300 ,test_acc:=0.786347 ModelSave!
epoch:=2400 ,test_acc:=0.785352 ModelSave!
epoch:=2500 ,test_acc:=0.784758 ModelSave!
epoch:=2600 ,test_acc:=0.783226 ModelSave!
epoch:=2700 ,test_acc:=0.782346 ModelSave!
epoch:=2800 ,test_acc:=0.781311 ModelSave!
epoch:=2900 ,test_acc:=0.780002 ModelSave!
epoch:=3000 ,test_acc:=0.778205 ModelSave!
epoch:=3100 ,test_acc:=0.776909 ModelSave!
epoch:=3200 ,test_acc:=0.776319 ModelSave!
epoch:=3300 ,test_acc:=0.775604 ModelSave!
epoch:=3400 ,test_acc:=0.771699 ModelSave!
epoch:=3500 ,test_acc:=0.768604 ModelSave!
epoch:=3600 ,test_acc:=0.765677 ModelSave!
epoch:=3700 ,test_acc:=0.762949 ModelSave!
epoch:=3800 ,test_acc:=0.757886 ModelSave!
epoch:=3900 ,test_acc:=0.753134 ModelSave!
epoch:=4000 ,test_acc:=0.747792 ModelSave!
epoch:=4100 ,test_acc:=0.736489 ModelSave!
epoch:=4200 ,test_acc:=0.722880 ModelSave!
epoch:=4300 ,test_acc:=0.697688 ModelSave!
epoch:=4400 ,test_acc:=0.640833 ModelSave!
epoch:=4500 ,test_acc:=0.587881 ModelSave!
epoch:=4600 ,test_acc:=0.583612 ModelSave!
epoch:=4700 ,test_acc:=0.578903 ModelSave!
epoch:=4800 ,test_acc:=0.574959 ModelSave!
epoch:=4900 ,test_acc:=0.582159
epoch:=5000 ,test_acc:=0.574472 ModelSave!
epoch:=5100 ,test_acc:=0.563378 ModelSave!
epoch:=5200 ,test_acc:=0.567481
epoch:=5300 ,test_acc:=0.559050 ModelSave!
epoch:=5400 ,test_acc:=0.555350 ModelSave!
epoch:=5500 ,test_acc:=0.559282
epoch:=5600 ,test_acc:=0.568351
epoch:=5700 ,test_acc:=0.548646 ModelSave!
epoch:=5800 ,test_acc:=0.548114 ModelSave!
epoch:=5900 ,test_acc:=0.547499 ModelSave!
epoch:=6000 ,test_acc:=0.547880
epoch:=6100 ,test_acc:=0.541972 ModelSave!
epoch:=6200 ,test_acc:=0.541643 ModelSave!
epoch:=6300 ,test_acc:=0.539584 ModelSave!
epoch:=6400 ,test_acc:=0.540067
epoch:=6500 ,test_acc:=0.545615
epoch:=6600 ,test_acc:=0.540253
epoch:=6700 ,test_acc:=0.535269 ModelSave!
epoch:=6800 ,test_acc:=0.534727 ModelSave!
epoch:=6900 ,test_acc:=0.530759 ModelSave!
epoch:=7000 ,test_acc:=0.530447 ModelSave!
epoch:=7100 ,test_acc:=0.532736
epoch:=7200 ,test_acc:=0.529318 ModelSave!
epoch:=7300 ,test_acc:=0.543303
epoch:=7400 ,test_acc:=0.537461
epoch:=7500 ,test_acc:=0.520447 ModelSave!
epoch:=7600 ,test_acc:=0.522317
epoch:=7700 ,test_acc:=0.521217
epoch:=7800 ,test_acc:=0.517151 ModelSave!
epoch:=7900 ,test_acc:=0.516099 ModelSave!
epoch:=8000 ,test_acc:=0.535933
epoch:=8100 ,test_acc:=0.518470
epoch:=8200 ,test_acc:=0.527295
epoch:=8300 ,test_acc:=0.513198 ModelSave!
epoch:=8400 ,test_acc:=0.513767
epoch:=8500 ,test_acc:=0.515817
epoch:=8600 ,test_acc:=0.507037 ModelSave!
epoch:=8700 ,test_acc:=0.506607 ModelSave!
epoch:=8800 ,test_acc:=0.552002
epoch:=8900 ,test_acc:=0.503800 ModelSave!
epoch:=9000 ,test_acc:=0.517796
epoch:=9100 ,test_acc:=0.520680
epoch:=9200 ,test_acc:=0.516390
epoch:=9300 ,test_acc:=0.490677 ModelSave!
epoch:=9400 ,test_acc:=0.506961
epoch:=9500 ,test_acc:=0.492112
epoch:=9600 ,test_acc:=0.477676 ModelSave!
epoch:=9700 ,test_acc:=0.474794 ModelSave!
epoch:=9800 ,test_acc:=0.473154 ModelSave!
epoch:=9900 ,test_acc:=0.479348
epoch:=10000 ,test_acc:=0.461895 ModelSave!
epoch:=10100 ,test_acc:=0.454728 ModelSave!
epoch:=10200 ,test_acc:=0.450766 ModelSave!
epoch:=10300 ,test_acc:=0.444188 ModelSave!
epoch:=10400 ,test_acc:=0.448598
epoch:=10500 ,test_acc:=0.440829 ModelSave!
epoch:=10600 ,test_acc:=0.526484
epoch:=10700 ,test_acc:=0.435229 ModelSave!
epoch:=10800 ,test_acc:=0.456517
epoch:=10900 ,test_acc:=0.488402
epoch:=11000 ,test_acc:=0.440376
epoch:=11100 ,test_acc:=0.431063 ModelSave!
epoch:=11200 ,test_acc:=0.427932 ModelSave!
epoch:=11300 ,test_acc:=0.428186
epoch:=11400 ,test_acc:=0.543124
epoch:=11500 ,test_acc:=0.462791
epoch:=11600 ,test_acc:=0.436503
epoch:=11700 ,test_acc:=0.424160 ModelSave!
epoch:=11800 ,test_acc:=0.422055 ModelSave!
epoch:=11900 ,test_acc:=0.434841
epoch:=12000 ,test_acc:=0.430689
epoch:=12100 ,test_acc:=0.428796
epoch:=12200 ,test_acc:=0.454176
epoch:=12300 ,test_acc:=0.517240
epoch:=12400 ,test_acc:=0.440571
epoch:=12500 ,test_acc:=0.440787
epoch:=12600 ,test_acc:=0.419928 ModelSave!
epoch:=12700 ,test_acc:=0.420210
epoch:=12800 ,test_acc:=0.417297 ModelSave!
epoch:=12900 ,test_acc:=0.500978
epoch:=13000 ,test_acc:=0.415093 ModelSave!
epoch:=13100 ,test_acc:=0.416016
epoch:=13200 ,test_acc:=0.428994
epoch:=13300 ,test_acc:=0.417507
epoch:=13400 ,test_acc:=0.424136
epoch:=13500 ,test_acc:=0.417931
epoch:=13600 ,test_acc:=0.413847 ModelSave!
epoch:=13700 ,test_acc:=0.412296 ModelSave!
epoch:=13800 ,test_acc:=0.413478
epoch:=13900 ,test_acc:=0.434137
epoch:=14000 ,test_acc:=0.439916
epoch:=14100 ,test_acc:=0.411657 ModelSave!
epoch:=14200 ,test_acc:=0.423847
epoch:=14300 ,test_acc:=0.413618
epoch:=14400 ,test_acc:=0.469736
epoch:=14500 ,test_acc:=0.438858
epoch:=14600 ,test_acc:=0.412929
