epoch:=100 ,test_acc:=4.996724
epoch:=200 ,test_acc:=1.862792 ModelSave!
epoch:=300 ,test_acc:=1.290942 ModelSave!
epoch:=400 ,test_acc:=1.157821 ModelSave!
epoch:=500 ,test_acc:=1.115797 ModelSave!
epoch:=600 ,test_acc:=1.101428 ModelSave!
epoch:=700 ,test_acc:=1.095672 ModelSave!
epoch:=800 ,test_acc:=1.093378 ModelSave!
epoch:=900 ,test_acc:=1.092629 ModelSave!
epoch:=1000 ,test_acc:=1.092633
epoch:=1100 ,test_acc:=1.093159
epoch:=1200 ,test_acc:=1.093585
epoch:=1300 ,test_acc:=1.094037
epoch:=1400 ,test_acc:=1.094827
epoch:=1500 ,test_acc:=1.095571
epoch:=1600 ,test_acc:=1.096179
epoch:=1700 ,test_acc:=1.096128
epoch:=1800 ,test_acc:=1.096034
epoch:=1900 ,test_acc:=1.095769
epoch:=2000 ,test_acc:=1.095285
epoch:=2100 ,test_acc:=1.094898
epoch:=2200 ,test_acc:=1.095304
epoch:=2300 ,test_acc:=1.094355
epoch:=2400 ,test_acc:=1.094476
epoch:=2500 ,test_acc:=1.094761
epoch:=2600 ,test_acc:=1.092304 ModelSave!
epoch:=2700 ,test_acc:=1.091305 ModelSave!
epoch:=2800 ,test_acc:=1.091983
epoch:=2900 ,test_acc:=1.092379
epoch:=3000 ,test_acc:=1.090451 ModelSave!
epoch:=3100 ,test_acc:=1.086971 ModelSave!
epoch:=3200 ,test_acc:=1.086680 ModelSave!
epoch:=3300 ,test_acc:=1.087507
epoch:=3400 ,test_acc:=1.085936 ModelSave!
epoch:=3500 ,test_acc:=1.083363 ModelSave!
epoch:=3600 ,test_acc:=1.083568
epoch:=3700 ,test_acc:=1.083531
epoch:=3800 ,test_acc:=1.081954 ModelSave!
epoch:=3900 ,test_acc:=1.078823 ModelSave!
epoch:=4000 ,test_acc:=1.071871 ModelSave!
epoch:=4100 ,test_acc:=1.071092 ModelSave!
epoch:=4200 ,test_acc:=1.064056 ModelSave!
epoch:=4300 ,test_acc:=1.054704 ModelSave!
epoch:=4400 ,test_acc:=1.046607 ModelSave!
epoch:=4500 ,test_acc:=1.029534 ModelSave!
epoch:=4600 ,test_acc:=1.000601 ModelSave!
epoch:=4700 ,test_acc:=0.963546 ModelSave!
epoch:=4800 ,test_acc:=0.959710 ModelSave!
epoch:=4900 ,test_acc:=0.942259 ModelSave!
epoch:=5000 ,test_acc:=0.945405
epoch:=5100 ,test_acc:=0.941641 ModelSave!
