epoch:=100 ,train_acc:=255.310723 ,test_acc:=255.342270
epoch:=200 ,train_acc:=250.778477 ,test_acc:=250.813146
epoch:=300 ,train_acc:=246.371552 ,test_acc:=246.404836
epoch:=400 ,train_acc:=242.049880 ,test_acc:=242.079019
epoch:=500 ,train_acc:=237.756522 ,test_acc:=237.785684
epoch:=600 ,train_acc:=233.603962 ,test_acc:=233.632827
epoch:=700 ,train_acc:=229.567132 ,test_acc:=229.590025
epoch:=800 ,train_acc:=225.825950 ,test_acc:=225.833645
epoch:=900 ,train_acc:=221.486604 ,test_acc:=221.515661
epoch:=1000 ,train_acc:=218.037389 ,test_acc:=218.049639
epoch:=1100 ,train_acc:=214.184757 ,test_acc:=214.193887
epoch:=1200 ,train_acc:=210.284846 ,test_acc:=210.298148
epoch:=1300 ,train_acc:=207.077776 ,test_acc:=207.088954
epoch:=1400 ,train_acc:=204.036951 ,test_acc:=204.056865
epoch:=1500 ,train_acc:=200.173202 ,test_acc:=200.183464
epoch:=1600 ,train_acc:=195.751485 ,test_acc:=195.770005
epoch:=1700 ,train_acc:=192.001344 ,test_acc:=192.039604
epoch:=1800 ,train_acc:=188.634084 ,test_acc:=188.659468
epoch:=1900 ,train_acc:=185.306123 ,test_acc:=185.325526
epoch:=2000 ,train_acc:=181.970307 ,test_acc:=181.991208
epoch:=2100 ,train_acc:=178.648554 ,test_acc:=178.677008
epoch:=2200 ,train_acc:=175.386250 ,test_acc:=175.421406
epoch:=2300 ,train_acc:=172.185422 ,test_acc:=172.224271
epoch:=2400 ,train_acc:=169.067795 ,test_acc:=169.106489
epoch:=2500 ,train_acc:=165.978555 ,test_acc:=166.015806
epoch:=2600 ,train_acc:=163.005934 ,test_acc:=163.038435
epoch:=2700 ,train_acc:=160.195702 ,test_acc:=160.212532
epoch:=2800 ,train_acc:=157.274270 ,test_acc:=157.286340
epoch:=2900 ,train_acc:=154.389955 ,test_acc:=154.398206
epoch:=3000 ,train_acc:=151.163124 ,test_acc:=151.200047
epoch:=3100 ,train_acc:=148.442313 ,test_acc:=148.461938
epoch:=3200 ,train_acc:=145.634131 ,test_acc:=145.655723
epoch:=3300 ,train_acc:=142.850966 ,test_acc:=142.880488
epoch:=3400 ,train_acc:=140.111727 ,test_acc:=140.150329
epoch:=3500 ,train_acc:=137.444706 ,test_acc:=137.483889
epoch:=3600 ,train_acc:=134.835971 ,test_acc:=134.872924
epoch:=3700 ,train_acc:=132.326383 ,test_acc:=132.350795
epoch:=3800 ,train_acc:=129.858336 ,test_acc:=129.870167
epoch:=3900 ,train_acc:=127.670770 ,test_acc:=127.670770 ModelSave!
epoch:=4000 ,train_acc:=124.746973 ,test_acc:=124.779287
epoch:=4100 ,train_acc:=122.451999 ,test_acc:=122.461517
epoch:=4200 ,train_acc:=120.077292 ,test_acc:=120.085956
epoch:=4300 ,train_acc:=117.820189 ,test_acc:=117.820189 ModelSave!
epoch:=4400 ,train_acc:=115.319426 ,test_acc:=115.344080
epoch:=4500 ,train_acc:=113.046706 ,test_acc:=113.070363
epoch:=4600 ,train_acc:=110.774754 ,test_acc:=110.809313
epoch:=4700 ,train_acc:=108.582415 ,test_acc:=108.622272
epoch:=4800 ,train_acc:=106.406377 ,test_acc:=106.445763
epoch:=4900 ,train_acc:=104.307284 ,test_acc:=104.342364
epoch:=5000 ,train_acc:=102.537514 ,test_acc:=102.550662
epoch:=5100 ,train_acc:=100.384865 ,test_acc:=100.402168
epoch:=5200 ,train_acc:=98.323568 ,test_acc:=98.343943
