epoch:=100 ,test_acc:=51.743528
epoch:=200 ,test_acc:=50.949401
epoch:=300 ,test_acc:=50.160882
epoch:=400 ,test_acc:=49.381382
epoch:=500 ,test_acc:=48.612751
epoch:=600 ,test_acc:=47.863939
epoch:=700 ,test_acc:=47.131642
epoch:=800 ,test_acc:=46.422509
epoch:=900 ,test_acc:=45.724735
epoch:=1000 ,test_acc:=45.042583
epoch:=1100 ,test_acc:=44.378607
epoch:=1200 ,test_acc:=43.715277
epoch:=1300 ,test_acc:=43.068666
epoch:=1400 ,test_acc:=42.436472
epoch:=1500 ,test_acc:=41.814387
epoch:=1600 ,test_acc:=41.198888
epoch:=1700 ,test_acc:=40.578442
epoch:=1800 ,test_acc:=39.977861
epoch:=1900 ,test_acc:=39.381973
epoch:=2000 ,test_acc:=38.808598
epoch:=2100 ,test_acc:=38.255429
epoch:=2200 ,test_acc:=37.702672
epoch:=2300 ,test_acc:=37.169078
epoch:=2400 ,test_acc:=36.630256
epoch:=2500 ,test_acc:=36.118768
epoch:=2600 ,test_acc:=35.639829
epoch:=2700 ,test_acc:=35.150754
epoch:=2800 ,test_acc:=34.603511
epoch:=2900 ,test_acc:=34.135785
epoch:=3000 ,test_acc:=33.656979
epoch:=3100 ,test_acc:=33.197485
epoch:=3200 ,test_acc:=32.716477
epoch:=3300 ,test_acc:=32.254028
epoch:=3400 ,test_acc:=31.829757
epoch:=3500 ,test_acc:=31.377722
epoch:=3600 ,test_acc:=30.943615
epoch:=3700 ,test_acc:=30.522021
epoch:=3800 ,test_acc:=30.094696
epoch:=3900 ,test_acc:=29.670480
epoch:=4000 ,test_acc:=29.265638
epoch:=4100 ,test_acc:=28.871144
epoch:=4200 ,test_acc:=28.471264
epoch:=4300 ,test_acc:=28.083799
epoch:=4400 ,test_acc:=27.683506
epoch:=4500 ,test_acc:=27.323848
epoch:=4600 ,test_acc:=26.965424
epoch:=4700 ,test_acc:=26.574930
epoch:=4800 ,test_acc:=26.214309
epoch:=4900 ,test_acc:=25.871778
epoch:=5000 ,test_acc:=25.504875
epoch:=5100 ,test_acc:=25.161073
epoch:=5200 ,test_acc:=24.816562
epoch:=5300 ,test_acc:=24.492586
epoch:=5400 ,test_acc:=24.159734
epoch:=5500 ,test_acc:=23.854955
epoch:=5600 ,test_acc:=23.536234
epoch:=5700 ,test_acc:=23.233693
epoch:=5800 ,test_acc:=22.908824
epoch:=5900 ,test_acc:=22.619696
epoch:=6000 ,test_acc:=22.307373
epoch:=6100 ,test_acc:=22.022753
epoch:=6200 ,test_acc:=21.736035
epoch:=6300 ,test_acc:=21.456119
epoch:=6400 ,test_acc:=21.176413
epoch:=6500 ,test_acc:=20.909969
epoch:=6600 ,test_acc:=20.636146
epoch:=6700 ,test_acc:=20.369919
epoch:=6800 ,test_acc:=20.129301
epoch:=6900 ,test_acc:=19.858090
epoch:=7000 ,test_acc:=19.615582
epoch:=7100 ,test_acc:=19.373445
epoch:=7200 ,test_acc:=19.143648
epoch:=7300 ,test_acc:=18.887664
epoch:=7400 ,test_acc:=18.665498
epoch:=7500 ,test_acc:=18.419062
epoch:=7600 ,test_acc:=18.195749
epoch:=7700 ,test_acc:=17.979494
epoch:=7800 ,test_acc:=17.754303
epoch:=7900 ,test_acc:=17.531574
epoch:=8000 ,test_acc:=17.344954
epoch:=8100 ,test_acc:=17.112162
epoch:=8200 ,test_acc:=16.908615
epoch:=8300 ,test_acc:=16.722621
epoch:=8400 ,test_acc:=16.525621
epoch:=8500 ,test_acc:=16.345551
epoch:=8600 ,test_acc:=16.130935
epoch:=8700 ,test_acc:=15.953433
epoch:=8800 ,test_acc:=15.757945
epoch:=8900 ,test_acc:=15.567573
epoch:=9000 ,test_acc:=15.401186
epoch:=9100 ,test_acc:=15.249324
epoch:=9200 ,test_acc:=15.057712
epoch:=9300 ,test_acc:=14.884727
epoch:=9400 ,test_acc:=14.713264
epoch:=9500 ,test_acc:=14.553172
epoch:=9600 ,test_acc:=14.420886
epoch:=9700 ,test_acc:=14.246296
epoch:=9800 ,test_acc:=14.077133
epoch:=9900 ,test_acc:=13.934092
epoch:=10000 ,test_acc:=13.779212
epoch:=10100 ,test_acc:=13.639738
epoch:=10200 ,test_acc:=13.488826
epoch:=10300 ,test_acc:=13.359731
epoch:=10400 ,test_acc:=13.206002
epoch:=10500 ,test_acc:=13.066859
epoch:=10600 ,test_acc:=12.936734
epoch:=10700 ,test_acc:=12.800825
epoch:=10800 ,test_acc:=12.667055
epoch:=10900 ,test_acc:=12.542556
epoch:=11000 ,test_acc:=12.423227
epoch:=11100 ,test_acc:=12.289737
epoch:=11200 ,test_acc:=12.171938
epoch:=11300 ,test_acc:=12.057937
epoch:=11400 ,test_acc:=11.939413
epoch:=11500 ,test_acc:=11.834423
epoch:=11600 ,test_acc:=11.731334
epoch:=11700 ,test_acc:=11.613913
epoch:=11800 ,test_acc:=11.490097
epoch:=11900 ,test_acc:=11.386272
epoch:=12000 ,test_acc:=11.329560
epoch:=12100 ,test_acc:=11.182134
epoch:=12200 ,test_acc:=11.094666
epoch:=12300 ,test_acc:=10.985096
epoch:=12400 ,test_acc:=10.905444
epoch:=12500 ,test_acc:=10.809490
epoch:=12600 ,test_acc:=10.689184
epoch:=12700 ,test_acc:=10.610546
epoch:=12800 ,test_acc:=10.528446
epoch:=12900 ,test_acc:=10.430275
epoch:=13000 ,test_acc:=10.354188
epoch:=13100 ,test_acc:=10.264087
epoch:=13200 ,test_acc:=10.195095
epoch:=13300 ,test_acc:=10.104344
epoch:=13400 ,test_acc:=10.008848
epoch:=13500 ,test_acc:=9.941731
epoch:=13600 ,test_acc:=9.857802
epoch:=13700 ,test_acc:=9.789355
epoch:=13800 ,test_acc:=9.716822
epoch:=13900 ,test_acc:=9.631429
epoch:=14000 ,test_acc:=9.552073
epoch:=14100 ,test_acc:=9.492964
epoch:=14200 ,test_acc:=9.421144
epoch:=14300 ,test_acc:=9.364233
epoch:=14400 ,test_acc:=9.284380
epoch:=14500 ,test_acc:=9.222724
epoch:=14600 ,test_acc:=9.158557
epoch:=14700 ,test_acc:=9.101249
epoch:=14800 ,test_acc:=9.033987
epoch:=14900 ,test_acc:=8.973605
epoch:=15000 ,test_acc:=8.899185
epoch:=15100 ,test_acc:=8.855523
epoch:=15200 ,test_acc:=8.786645
epoch:=15300 ,test_acc:=8.735506
epoch:=15400 ,test_acc:=8.692211
epoch:=15500 ,test_acc:=8.634303
epoch:=15600 ,test_acc:=8.573929
epoch:=15700 ,test_acc:=8.517689
epoch:=15800 ,test_acc:=8.496498
epoch:=15900 ,test_acc:=8.425770
epoch:=16000 ,test_acc:=8.380292
epoch:=16100 ,test_acc:=8.329426
epoch:=16200 ,test_acc:=8.270186
epoch:=16300 ,test_acc:=8.222607
