epoch:=100 ,test_acc:=44.712433
epoch:=200 ,test_acc:=38.316933
epoch:=300 ,test_acc:=32.910175
epoch:=400 ,test_acc:=28.251511
epoch:=500 ,test_acc:=24.249331
epoch:=600 ,test_acc:=20.909126
epoch:=700 ,test_acc:=17.998440
epoch:=800 ,test_acc:=15.542085
epoch:=900 ,test_acc:=13.399261
epoch:=1000 ,test_acc:=11.609323
epoch:=1100 ,test_acc:=10.014487
epoch:=1200 ,test_acc:=8.606687
epoch:=1300 ,test_acc:=7.501365
epoch:=1400 ,test_acc:=6.567838
epoch:=1500 ,test_acc:=5.699601
epoch:=1600 ,test_acc:=5.013999
epoch:=1700 ,test_acc:=4.443177
epoch:=1800 ,test_acc:=3.935855 ModelSave!
epoch:=1900 ,test_acc:=3.506854 ModelSave!
epoch:=2000 ,test_acc:=3.102935 ModelSave!
epoch:=2100 ,test_acc:=2.839926 ModelSave!
epoch:=2200 ,test_acc:=2.512208 ModelSave!
epoch:=2300 ,test_acc:=2.342903 ModelSave!
epoch:=2400 ,test_acc:=2.045001 ModelSave!
epoch:=2500 ,test_acc:=1.946892 ModelSave!
epoch:=2600 ,test_acc:=1.784871 ModelSave!
epoch:=2700 ,test_acc:=1.643329 ModelSave!
epoch:=2800 ,test_acc:=1.536556 ModelSave!
epoch:=2900 ,test_acc:=1.476426 ModelSave!
epoch:=3000 ,test_acc:=1.358186 ModelSave!
epoch:=3100 ,test_acc:=1.297193 ModelSave!
epoch:=3200 ,test_acc:=1.284650 ModelSave!
epoch:=3300 ,test_acc:=1.160724 ModelSave!
epoch:=3400 ,test_acc:=1.194214
epoch:=3500 ,test_acc:=1.139387 ModelSave!
epoch:=3600 ,test_acc:=1.047416 ModelSave!
epoch:=3700 ,test_acc:=1.105053
epoch:=3800 ,test_acc:=1.021323 ModelSave!
epoch:=3900 ,test_acc:=0.935975 ModelSave!
epoch:=4000 ,test_acc:=0.963480
epoch:=4100 ,test_acc:=0.975362
epoch:=4200 ,test_acc:=0.874407 ModelSave!
epoch:=4300 ,test_acc:=0.884220
epoch:=4400 ,test_acc:=0.870508 ModelSave!
epoch:=4500 ,test_acc:=0.844832 ModelSave!
epoch:=4600 ,test_acc:=0.867680
epoch:=4700 ,test_acc:=0.855220
epoch:=4800 ,test_acc:=0.892671
epoch:=4900 ,test_acc:=0.828128 ModelSave!
epoch:=5000 ,test_acc:=0.893051
epoch:=5100 ,test_acc:=0.853342
epoch:=5200 ,test_acc:=0.754925 ModelSave!
epoch:=5300 ,test_acc:=0.840603
epoch:=5400 ,test_acc:=0.736291 ModelSave!
epoch:=5500 ,test_acc:=0.788804
epoch:=5600 ,test_acc:=0.801316
epoch:=5700 ,test_acc:=0.778077
epoch:=5800 ,test_acc:=0.780876
epoch:=5900 ,test_acc:=0.719830 ModelSave!
epoch:=6000 ,test_acc:=0.779118
epoch:=6100 ,test_acc:=0.772804
epoch:=6200 ,test_acc:=0.729512
epoch:=6300 ,test_acc:=0.802182
epoch:=6400 ,test_acc:=0.757524
epoch:=6500 ,test_acc:=0.748561
epoch:=6600 ,test_acc:=0.769021
epoch:=6700 ,test_acc:=0.759933
epoch:=6800 ,test_acc:=0.787671
epoch:=6900 ,test_acc:=0.745793
epoch:=7000 ,test_acc:=0.731869
epoch:=7100 ,test_acc:=0.749378
epoch:=7200 ,test_acc:=0.714110 ModelSave!
epoch:=7300 ,test_acc:=0.785116
epoch:=7400 ,test_acc:=0.676513 ModelSave!
epoch:=7500 ,test_acc:=0.790139
epoch:=7600 ,test_acc:=0.741483
epoch:=7700 ,test_acc:=0.734854
epoch:=7800 ,test_acc:=0.746767
epoch:=7900 ,test_acc:=0.712181
epoch:=8000 ,test_acc:=0.707012
epoch:=8100 ,test_acc:=0.761682
epoch:=8200 ,test_acc:=0.745961
epoch:=8300 ,test_acc:=0.676301 ModelSave!
epoch:=8400 ,test_acc:=0.689381
epoch:=8500 ,test_acc:=0.712704
epoch:=8600 ,test_acc:=0.745766
epoch:=8700 ,test_acc:=0.735325
epoch:=8800 ,test_acc:=0.730182
epoch:=8900 ,test_acc:=0.753453
epoch:=9000 ,test_acc:=0.690051
epoch:=9100 ,test_acc:=0.720413
epoch:=9200 ,test_acc:=0.704613
epoch:=9300 ,test_acc:=0.725112
epoch:=9400 ,test_acc:=0.715864
epoch:=9500 ,test_acc:=0.728150
epoch:=9600 ,test_acc:=0.736420
epoch:=9700 ,test_acc:=0.698011
epoch:=9800 ,test_acc:=0.707475
epoch:=9900 ,test_acc:=0.733000
epoch:=10000 ,test_acc:=0.755328
epoch:=10100 ,test_acc:=0.716486
epoch:=10200 ,test_acc:=0.759134
epoch:=10300 ,test_acc:=0.753021
epoch:=10400 ,test_acc:=0.732299
epoch:=10500 ,test_acc:=0.772320
epoch:=10600 ,test_acc:=0.709084
epoch:=10700 ,test_acc:=0.749724
epoch:=10800 ,test_acc:=0.727223
epoch:=10900 ,test_acc:=0.652850 ModelSave!
epoch:=11000 ,test_acc:=0.743702
epoch:=11100 ,test_acc:=0.735448
epoch:=11200 ,test_acc:=0.715302
epoch:=11300 ,test_acc:=0.689459
epoch:=11400 ,test_acc:=0.745698
epoch:=11500 ,test_acc:=0.758268
epoch:=11600 ,test_acc:=0.700874
epoch:=11700 ,test_acc:=0.727771
epoch:=11800 ,test_acc:=0.711005
epoch:=11900 ,test_acc:=0.759267
epoch:=12000 ,test_acc:=0.752110
epoch:=12100 ,test_acc:=0.712482
epoch:=12200 ,test_acc:=0.713001
epoch:=12300 ,test_acc:=0.697410
epoch:=12400 ,test_acc:=0.743317
epoch:=12500 ,test_acc:=0.696256
epoch:=12600 ,test_acc:=0.700090
epoch:=12700 ,test_acc:=0.720569
epoch:=12800 ,test_acc:=0.772184
epoch:=12900 ,test_acc:=0.747760
epoch:=13000 ,test_acc:=0.753841
epoch:=13100 ,test_acc:=0.733116
epoch:=13200 ,test_acc:=0.756179
epoch:=13300 ,test_acc:=0.780714
epoch:=13400 ,test_acc:=0.755519
epoch:=13500 ,test_acc:=0.704244
epoch:=13600 ,test_acc:=0.725557
epoch:=13700 ,test_acc:=0.734278
epoch:=13800 ,test_acc:=0.727086
epoch:=13900 ,test_acc:=0.722499
epoch:=14000 ,test_acc:=0.702386
epoch:=14100 ,test_acc:=0.749554
epoch:=14200 ,test_acc:=0.759948
epoch:=14300 ,test_acc:=0.700928
epoch:=14400 ,test_acc:=0.719494
epoch:=14500 ,test_acc:=0.706716
epoch:=14600 ,test_acc:=0.725749
epoch:=14700 ,test_acc:=0.699237
epoch:=14800 ,test_acc:=0.716736
epoch:=14900 ,test_acc:=0.769438
epoch:=15000 ,test_acc:=0.729488
epoch:=15100 ,test_acc:=0.727347
epoch:=15200 ,test_acc:=0.724497
epoch:=15300 ,test_acc:=0.741513
epoch:=15400 ,test_acc:=0.775996
epoch:=15500 ,test_acc:=0.736663
epoch:=15600 ,test_acc:=0.705666
epoch:=15700 ,test_acc:=0.715153
epoch:=15800 ,test_acc:=0.731132
epoch:=15900 ,test_acc:=0.726616
epoch:=16000 ,test_acc:=0.728685
epoch:=16100 ,test_acc:=0.739014
epoch:=16200 ,test_acc:=0.751306
epoch:=16300 ,test_acc:=0.699738
epoch:=16400 ,test_acc:=0.738028
epoch:=16500 ,test_acc:=0.677709
epoch:=16600 ,test_acc:=0.747639
epoch:=16700 ,test_acc:=0.721819
epoch:=16800 ,test_acc:=0.704557
epoch:=16900 ,test_acc:=0.763772
epoch:=17000 ,test_acc:=0.704551
epoch:=17100 ,test_acc:=0.684360
epoch:=17200 ,test_acc:=0.716797
epoch:=17300 ,test_acc:=0.725110
epoch:=17400 ,test_acc:=0.731440
epoch:=17500 ,test_acc:=0.719522
epoch:=17600 ,test_acc:=0.728831
epoch:=17700 ,test_acc:=0.758710
epoch:=17800 ,test_acc:=0.758186
epoch:=17900 ,test_acc:=0.745149
epoch:=18000 ,test_acc:=0.776675
epoch:=18100 ,test_acc:=0.751853
epoch:=18200 ,test_acc:=0.744519
epoch:=18300 ,test_acc:=0.720625
epoch:=18400 ,test_acc:=0.727845
epoch:=18500 ,test_acc:=0.778833
epoch:=18600 ,test_acc:=0.759377
epoch:=18700 ,test_acc:=0.747123
epoch:=18800 ,test_acc:=0.717458
epoch:=18900 ,test_acc:=0.714193
epoch:=19000 ,test_acc:=0.720073
epoch:=19100 ,test_acc:=0.729854
epoch:=19200 ,test_acc:=0.747678
epoch:=19300 ,test_acc:=0.742386
epoch:=19400 ,test_acc:=0.693200
epoch:=19500 ,test_acc:=0.732049
epoch:=19600 ,test_acc:=0.751173
epoch:=19700 ,test_acc:=0.712201
epoch:=19800 ,test_acc:=0.776470
epoch:=19900 ,test_acc:=0.738929
epoch:=20000 ,test_acc:=0.714676
epoch:=20100 ,test_acc:=0.732172
epoch:=20200 ,test_acc:=0.720182
epoch:=20300 ,test_acc:=0.739868
epoch:=20400 ,test_acc:=0.748336
epoch:=20500 ,test_acc:=0.706517
epoch:=20600 ,test_acc:=0.708361
epoch:=20700 ,test_acc:=0.725198
epoch:=20800 ,test_acc:=0.729136
epoch:=20900 ,test_acc:=0.719025
epoch:=21000 ,test_acc:=0.707549
epoch:=21100 ,test_acc:=0.733321
epoch:=21200 ,test_acc:=0.733704
epoch:=21300 ,test_acc:=0.724407
epoch:=21400 ,test_acc:=0.735559
epoch:=21500 ,test_acc:=0.770041
epoch:=21600 ,test_acc:=0.744292
epoch:=21700 ,test_acc:=0.733086
epoch:=21800 ,test_acc:=0.769966
epoch:=21900 ,test_acc:=0.750488
epoch:=22000 ,test_acc:=0.709860
epoch:=22100 ,test_acc:=0.713118
epoch:=22200 ,test_acc:=0.695914
epoch:=22300 ,test_acc:=0.678444
epoch:=22400 ,test_acc:=0.744365
epoch:=22500 ,test_acc:=0.718868
epoch:=22600 ,test_acc:=0.719829
epoch:=22700 ,test_acc:=0.726578
epoch:=22800 ,test_acc:=0.753903
epoch:=22900 ,test_acc:=0.734965
epoch:=23000 ,test_acc:=0.717088
epoch:=23100 ,test_acc:=0.741071
epoch:=23200 ,test_acc:=0.699956
epoch:=23300 ,test_acc:=0.712128
epoch:=23400 ,test_acc:=0.756778
epoch:=23500 ,test_acc:=0.713349
epoch:=23600 ,test_acc:=0.724585
epoch:=23700 ,test_acc:=0.715161
epoch:=23800 ,test_acc:=0.725631
epoch:=23900 ,test_acc:=0.757939
epoch:=24000 ,test_acc:=0.727056
epoch:=24100 ,test_acc:=0.742976
epoch:=24200 ,test_acc:=0.746694
epoch:=24300 ,test_acc:=0.744345
epoch:=24400 ,test_acc:=0.734318
epoch:=24500 ,test_acc:=0.796426
epoch:=24600 ,test_acc:=0.711325
epoch:=24700 ,test_acc:=0.743144
epoch:=24800 ,test_acc:=0.710917
epoch:=24900 ,test_acc:=0.743063
epoch:=25000 ,test_acc:=0.772307
epoch:=25100 ,test_acc:=0.729609
epoch:=25200 ,test_acc:=0.761565
epoch:=25300 ,test_acc:=0.707819
epoch:=25400 ,test_acc:=0.748613
epoch:=25500 ,test_acc:=0.730720
epoch:=25600 ,test_acc:=0.781654
epoch:=25700 ,test_acc:=0.743655
epoch:=25800 ,test_acc:=0.731125
epoch:=25900 ,test_acc:=0.726025
epoch:=26000 ,test_acc:=0.710804
epoch:=26100 ,test_acc:=0.735231
epoch:=26200 ,test_acc:=0.739759
epoch:=26300 ,test_acc:=0.747350
epoch:=26400 ,test_acc:=0.722259
epoch:=26500 ,test_acc:=0.733858
epoch:=26600 ,test_acc:=0.733792
epoch:=26700 ,test_acc:=0.751459
epoch:=26800 ,test_acc:=0.727500
epoch:=26900 ,test_acc:=0.716132
epoch:=27000 ,test_acc:=0.731787
epoch:=27100 ,test_acc:=0.729706
epoch:=27200 ,test_acc:=0.704563
