epoch:=100 ,test_acc:=4.836292
epoch:=200 ,test_acc:=2.118628 ModelSave!
epoch:=300 ,test_acc:=1.693650 ModelSave!
epoch:=400 ,test_acc:=1.602275 ModelSave!
epoch:=500 ,test_acc:=1.571891 ModelSave!
epoch:=600 ,test_acc:=1.560762 ModelSave!
epoch:=700 ,test_acc:=1.556887 ModelSave!
epoch:=800 ,test_acc:=1.554924 ModelSave!
epoch:=900 ,test_acc:=1.553963 ModelSave!
epoch:=1000 ,test_acc:=1.553504 ModelSave!
epoch:=1100 ,test_acc:=1.553620
epoch:=1200 ,test_acc:=1.553802
epoch:=1300 ,test_acc:=1.553761
epoch:=1400 ,test_acc:=1.553933
epoch:=1500 ,test_acc:=1.554401
epoch:=1600 ,test_acc:=1.554577
epoch:=1700 ,test_acc:=1.554787
epoch:=1800 ,test_acc:=1.554923
epoch:=1900 ,test_acc:=1.555482
epoch:=2000 ,test_acc:=1.555003
epoch:=2100 ,test_acc:=1.554590
epoch:=2200 ,test_acc:=1.553828
epoch:=2300 ,test_acc:=1.552905 ModelSave!
epoch:=2400 ,test_acc:=1.552500 ModelSave!
epoch:=2500 ,test_acc:=1.553233
epoch:=2600 ,test_acc:=1.553355
epoch:=2700 ,test_acc:=1.553323
epoch:=2800 ,test_acc:=1.552013 ModelSave!
epoch:=2900 ,test_acc:=1.551350 ModelSave!
epoch:=3000 ,test_acc:=1.550353 ModelSave!
epoch:=3100 ,test_acc:=1.549494 ModelSave!
epoch:=3200 ,test_acc:=1.548283 ModelSave!
epoch:=3300 ,test_acc:=1.547414 ModelSave!
epoch:=3400 ,test_acc:=1.546534 ModelSave!
epoch:=3500 ,test_acc:=1.543628 ModelSave!
epoch:=3600 ,test_acc:=1.543286 ModelSave!
epoch:=3700 ,test_acc:=1.540097 ModelSave!
epoch:=3800 ,test_acc:=1.538853 ModelSave!
epoch:=3900 ,test_acc:=1.536657 ModelSave!
epoch:=4000 ,test_acc:=1.535101 ModelSave!
epoch:=4100 ,test_acc:=1.529961 ModelSave!
