x,y,z,yaw,velocity,change_flag
6.9879,0.3233,0.4065,-0.0030,0.9701,0
7.0537,0.3241,0.4590,0.0056,1.0442,0
7.1093,0.3258,0.4682,0.0076,0.9100,0
7.1845,0.3371,0.4534,0.0032,1.4573,0
7.2524,0.3277,0.4323,-0.0120,1.1393,0
7.3149,0.3337,0.4717,-0.0275,0.9434,0
7.3700,0.3342,0.5356,-0.0281,0.7789,0
7.4264,0.3383,0.5274,-0.0229,0.9848,0
7.4953,0.3441,0.4822,-0.0169,1.4855,0
7.5480,0.3232,0.6885,-0.0223,0.5065,0
7.6028,0.3278,0.7021,-0.0188,0.4944,0
7.6675,0.3332,0.7099,-0.0124,0.6099,0
7.7222,0.3255,0.7100,-0.0159,0.5229,0
7.7852,0.3280,0.7126,-0.0227,0.6166,0
7.8385,0.3366,0.7203,-0.0255,0.5238,0
7.9054,0.3326,0.7349,-0.0235,0.6590,0
7.9697,0.3317,0.7268,-0.0183,0.6058,0
8.0239,0.3297,0.7266,-0.0079,0.4189,0
8.0829,0.3445,0.7396,-0.0056,0.5619,0
8.1423,0.3487,0.7448,-0.0070,0.5159,0
8.2030,0.3502,0.7459,-0.0060,0.6839,0
8.2670,0.3595,0.6575,-0.0049,0.6039,0
8.3257,0.3679,0.6291,-0.0094,0.6998,0
8.3927,0.3719,0.6300,-0.0191,0.6337,0
8.4609,0.3712,0.6413,-0.0318,0.7451,0
8.5175,0.3652,0.6975,-0.0387,0.6646,0
8.5694,0.3626,0.7261,-0.0387,0.6094,0
8.6203,0.3661,0.7400,-0.0314,0.8995,0
8.6815,0.3611,0.7711,-0.0210,0.6707,0
8.7541,0.3641,0.7495,-0.0147,1.3118,0
8.8194,0.3737,0.7261,-0.0090,0.7854,0
8.8850,0.3784,0.7094,-0.0035,1.0972,0
8.9480,0.3894,0.6935,-0.0054,0.7352,0
9.0032,0.3868,0.6942,-0.0120,0.6229,0
9.0567,0.3901,0.7145,-0.0212,inf,0
9.1087,0.3846,0.7823,-0.0233,0.5698,0
9.1678,0.3866,0.7884,-0.0268,0.7095,0
9.2384,0.3853,0.7954,-0.0152,1.6679,0
9.3033,0.3923,0.7719,-0.0137,1.2046,0
9.3592,0.4027,0.7712,-0.0138,1.3667,0
9.4177,0.4045,0.7682,-0.0113,0.5939,0
9.4707,0.4172,0.9091,-0.0114,0.5376,0
9.5244,0.4190,0.9226,-0.0205,0.4513,0
9.5817,0.4274,0.9301,-0.0334,0.6384,0
9.6424,0.4258,0.9306,-0.0334,0.4171,0
9.6932,0.4259,0.9382,-0.0281,0.6602,0
9.7569,0.4233,0.9500,-0.0201,0.5352,0
9.8219,0.4238,0.9500,-0.0101,0.7161,0
9.8811,0.4266,0.9593,-0.0088,0.5407,0
9.9343,0.4278,0.9718,-0.0024,0.7432,0
9.9919,0.4374,0.9715,0.0026,0.8532,0
10.0483,0.4324,0.9685,0.0021,0.7380,0
10.0987,0.4350,0.9724,-0.0061,0.4939,0
10.1612,0.4360,0.9777,-0.0194,0.7479,0
10.2175,0.4377,0.9895,-0.0300,0.7600,0
10.2705,0.4419,0.9874,-0.0304,inf,0
10.3292,0.4397,0.9894,-0.0286,0.5411,0
10.3882,0.4399,1.0000,-0.0233,0.7403,0
10.4445,0.4400,1.0151,-0.0130,0.5653,0
10.4954,0.4394,1.0225,-0.0176,0.5936,0
10.5620,0.4412,1.0247,-0.0172,0.7688,0
10.6140,0.4424,1.0315,-0.0132,inf,0
10.6702,0.4401,1.0364,-0.0104,0.5722,0
10.7320,0.4492,1.0481,-0.0163,0.6958,0
10.7820,0.4523,1.0535,-0.0211,0.7764,0
10.8352,0.4653,1.0486,-0.0221,0.6661,0
10.8952,0.4763,1.0547,-0.0212,0.8660,0
10.9566,0.4705,1.0548,-0.0157,0.9089,0
11.0148,0.4666,1.0703,-0.0045,0.4468,0
11.0708,0.4595,1.0727,-0.0041,0.6453,0
11.1279,0.4577,1.0745,-0.0043,0.6752,0
11.1932,0.4625,1.0775,-0.0029,0.8072,0
11.2472,0.4636,1.0837,-0.0036,0.7428,0
11.3032,0.4648,1.0873,-0.0102,inf,0
11.3530,0.4844,1.1017,-0.0221,1.0488,0
11.4157,0.4753,1.0982,-0.0284,0.8177,0
11.4684,0.4780,1.1018,-0.0290,inf,0
11.5308,0.4851,1.1130,-0.0283,0.7177,0
11.5879,0.4881,1.1272,-0.0218,0.7769,0
11.6380,0.4940,1.1292,-0.0121,0.6233,0
11.7100,0.4991,1.1299,-0.0083,1.0524,0
11.7658,0.4955,1.1352,-0.0025,0.7267,0
11.8190,0.5022,1.1376,0.0005,0.6113,0
11.8685,0.5131,1.1446,-0.0008,inf,0
11.9432,0.5018,1.1424,0.0022,1.1462,0
11.9955,0.5085,1.1550,-0.0126,0.6341,0
12.0476,0.5033,1.1590,-0.0154,0.6609,0
12.0974,0.5088,1.1721,-0.0177,0.6686,0
12.1546,0.5024,1.1635,-0.0135,0.9469,0
12.2082,0.5041,1.1545,-0.0052,0.4343,0
12.2589,0.5141,1.1747,-0.0068,0.4623,0
12.3160,0.5163,1.1675,-0.0100,0.7099,0
12.3801,0.5183,1.1855,-0.0096,1.0862,0
12.4369,0.5201,1.1244,-0.0079,0.5640,0
12.5101,0.5260,1.1476,-0.0137,1.4774,0
12.5647,0.5354,1.1518,-0.0268,1.0082,0
12.6406,0.5436,1.1399,-0.0308,0.9803,0
12.6907,0.5397,1.1387,-0.0251,0.6364,0
12.7556,0.5427,1.1466,-0.0202,1.0271,0
12.8253,0.5414,1.2039,-0.0046,0.8464,0
12.8955,0.5405,1.2078,0.0062,0.8481,0
12.9499,0.5381,1.2103,0.0092,0.8062,0
13.0140,0.5469,1.2388,0.0145,1.0631,0
13.0791,0.5579,1.2515,0.0208,0.6268,0
13.1376,0.5566,1.2342,0.0161,0.9332,0
13.1883,0.5597,1.2272,0.0055,1.0591,0
13.2408,0.5634,1.1927,-0.0042,0.6136,0
13.2967,0.5455,1.0641,-0.0030,1.3633,0
13.3528,0.5487,1.1443,-0.0037,2.6175,0
13.4061,0.5508,1.1925,0.0052,1.3163,0
13.4790,0.5536,1.2052,0.0095,1.2502,0
13.5391,0.5734,1.0586,0.0033,1.7189,0
13.6396,0.5612,1.0101,0.0134,2.4338,0
13.6887,0.5718,1.0138,0.0180,inf,0
13.7413,0.5768,0.9433,0.0142,inf,0
