x,y,z,yaw,velocity,change_flag
6.7332,0.3845,0.4014,0.2905,0.7742,0
6.7831,0.4005,0.5937,0.3744,0.9692,0
6.8357,0.4183,0.4304,0.3768,inf,0
6.9434,0.4624,0.4183,0.4808,6.6570,0
7.0093,0.5084,0.4305,0.5394,1.1840,0
6.9532,0.4854,0.5988,0.5364,inf,0
7.0001,0.5269,0.6150,0.5687,0.9862,0
7.0161,0.5798,0.7282,0.5859,inf,0
7.0412,0.5338,0.7780,0.5889,inf,0
7.0466,0.6013,0.7256,0.6011,2.9384,0
7.0536,0.5515,0.7568,0.5961,inf,0
7.1138,0.6058,0.4587,0.6085,inf,0
7.1595,0.6567,0.5561,0.6480,0.7057,0
7.2166,0.6804,0.4570,0.6619,inf,0
7.2461,0.7300,0.5068,0.6885,inf,0
7.2974,0.7357,0.4663,0.7418,0.7175,0
7.3263,0.7828,0.4634,0.8033,0.7220,0
7.3489,0.8282,0.4759,0.8447,0.9913,0
7.3889,0.8858,0.4866,0.8934,1.5457,0
7.3181,0.8723,0.7036,0.9085,7.7285,0
7.3730,0.9133,0.6387,0.9306,1.1014,0
7.4156,0.9575,0.5833,0.9694,2.5882,0
7.4177,1.0266,0.6836,1.0147,1.0687,0
7.4821,1.0344,0.5041,1.0304,inf,0
7.5248,1.0828,0.5026,1.0787,inf,0
7.5314,1.1492,0.5916,1.1419,0.7375,0
7.5456,1.2065,0.5860,1.1755,1.0534,0
7.5584,1.2736,0.5959,1.1895,inf,0
7.5829,1.2239,0.6311,1.1865,inf,0
7.5897,1.3001,0.5811,1.2283,2.7053,0
7.5752,1.3535,0.5757,1.2806,2.7049,0
7.6212,1.4190,0.4938,1.3137,5.9363,0
7.5873,1.4766,0.6431,1.3530,2.2140,0
7.5940,1.3818,0.5727,1.3404,inf,0
7.5847,1.4425,0.6600,1.3637,3.6665,0
7.6356,1.4884,0.5104,1.3699,inf,0
7.6411,1.5571,0.5085,1.3803,1.4904,0
7.5999,1.5217,0.6333,1.3787,inf,0
7.6789,1.5605,0.6272,1.4566,inf,0
7.6628,1.6218,0.5155,1.4791,4.4105,0
7.5997,1.6057,0.6424,1.4884,4.8826,0
7.6060,1.6850,0.6061,1.5505,1.8321,0
7.6397,1.7817,0.5077,1.5944,4.9798,0
7.6392,1.8543,0.5150,1.6003,3.1954,0
7.6271,1.9119,0.5528,1.5921,1.2757,0
7.6213,1.9800,0.5612,1.5813,1.7006,0
7.6232,2.0472,0.5312,1.5718,1.2430,0
7.6177,2.1174,0.5083,1.5689,1.0288,0
7.5947,2.1668,0.5505,1.5775,1.1959,0
7.6047,2.2423,0.5228,1.5807,1.7062,0
7.6034,2.3070,0.5425,1.5859,0.8605,0
7.5713,2.3803,0.5035,1.5858,1.7917,0
7.5977,2.4231,0.5731,1.5844,2.0731,0
7.5874,2.4832,0.5376,1.5851,1.8765,0
7.5854,2.5446,0.5682,1.5798,0.7072,0
7.5876,2.6113,0.5552,1.5698,0.7260,0
7.5805,2.6777,0.5599,1.5669,0.9341,0
7.5694,2.7507,0.5257,1.5721,1.1589,0
7.5731,2.8173,0.5252,1.5747,0.7929,0
7.5710,2.8794,0.4868,1.5816,1.2873,0
7.5842,2.9330,0.5161,1.5764,0.7292,0
7.5733,2.9932,0.5252,1.5767,0.4383,0
7.5517,3.0400,0.5181,1.5784,inf,0
7.5535,3.0970,0.5321,1.5785,0.3289,0
7.5562,3.1552,0.4936,1.5713,0.6794,0
7.5653,3.2047,0.4421,1.5691,1.6964,0
7.5424,3.2588,0.4952,1.5650,1.1047,0
7.5584,3.3254,0.4617,1.5659,1.3895,0
7.5430,3.3782,0.4767,1.5750,0.4680,0
7.5423,3.4378,0.4939,1.5769,0.5343,0
7.4834,3.4220,0.6443,1.5751,inf,0
7.4690,3.4701,0.6354,1.5798,inf,0
7.4585,3.5229,0.6286,1.5776,0.6914,0
7.4487,3.5747,0.6294,1.5799,0.6785,0
7.4446,3.6368,0.6284,1.5840,0.6739,0
7.4750,3.6935,0.6365,1.5775,0.6307,0
7.4427,3.7388,0.6248,1.5671,0.6786,0
7.4799,3.7843,0.6427,1.5620,0.6480,0
7.4588,3.8374,0.6319,1.5612,0.8266,0
7.4835,3.8887,0.6186,1.5641,0.4277,0
7.4645,3.9354,0.6085,1.5676,inf,0
7.4735,3.9855,0.6167,1.5702,0.8450,0
7.4612,4.0358,0.6159,1.5755,0.5663,0
7.4517,4.0890,0.6336,1.5703,0.4946,0
7.4525,4.1434,0.6421,1.5734,0.5901,0
7.4563,4.1961,0.6509,1.5781,0.4307,0
7.4482,4.2505,0.6495,1.5814,0.5938,0
7.4471,4.3129,0.6283,1.5678,0.6807,0
7.4608,4.3653,0.5722,1.5589,0.6250,0
7.4361,4.4359,0.6469,1.5595,2.4618,0
7.4291,4.4886,0.6179,1.5641,0.8071,0
7.4281,4.5537,0.6346,1.5762,0.9505,0
7.4235,4.6047,0.6436,1.5783,inf,0
7.4177,4.6627,0.6198,1.5794,0.5079,0
7.4428,4.6146,0.3042,1.5628,8.6093,0
7.4500,4.7286,0.3463,1.5769,inf,0
7.4554,4.6132,0.2730,1.5621,4.6972,0
7.4322,4.6803,0.3859,1.5642,4.7864,0
7.4459,4.7373,0.3433,1.5690,1.3242,0
7.4240,4.7886,0.3773,1.5693,0.4178,0
7.4358,4.8466,0.4006,1.5647,0.7147,0
7.4343,4.9057,0.4010,1.5486,0.7875,0
7.4420,4.9605,0.3701,1.5436,0.7410,0
7.4433,5.0294,0.3964,1.5519,1.3759,0
7.4241,5.0863,0.4773,1.5574,0.6046,0
7.4157,5.1391,0.6211,1.5611,inf,0
7.4333,5.0880,0.3819,1.5561,2.5472,0
7.4315,5.1440,0.3467,1.5574,1.1765,0
7.4458,5.2121,0.3290,1.5601,1.0513,0
7.4222,5.2581,0.3539,1.5615,0.5632,0
7.4280,5.3127,0.3531,1.5663,0.5817,0
7.4208,5.3631,0.2766,1.5706,0.9850,0
7.4725,5.3081,-0.0538,1.5545,11.5699,0
7.4569,5.3610,0.0743,1.5564,inf,0
7.5029,5.3873,-0.0940,1.5336,1.0407,0
7.5060,5.4763,-0.1497,1.5352,2.1808,0
7.4858,5.5281,-0.0815,1.5420,1.3733,0
7.4876,5.4415,-0.1390,1.5366,inf,0
7.4997,5.5077,-0.1899,1.5411,1.1431,0
7.4950,5.5735,-0.1844,1.5465,2.3681,0
7.5016,5.6243,-0.1707,1.5441,0.8814,0
7.5010,5.6809,-0.1916,1.5441,0.8882,0
7.4886,5.7304,-0.1163,1.5495,0.6810,0
7.4788,5.6483,-0.1518,1.5468,2.5780,0
7.4708,5.7190,-0.0560,1.5548,4.0232,0
7.4901,5.7737,-0.2368,1.5452,0.8293,0
7.4747,5.8236,-0.2531,1.5489,0.5398,0
7.4486,5.8782,-0.1814,1.5576,2.2458,0
7.4789,5.9933,-0.2523,1.5402,2.8041,0
7.4702,6.0473,-0.3549,1.5402,4.1260,0
7.4666,6.0985,-0.1881,1.5335,inf,0
7.4370,6.0566,-0.1574,1.5369,inf,0
